"1101 猟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,039,525,654","91,746,579,128","432,507",114.00,5/10,60.00,1/17,84.08
81,"468,122,568","28,423,548,095","159,911",77.50,1/27,45.00,9/18,59.55
82,"1,266,413,190","76,642,604,419","336,138",75.00,12/31,48.50,1/08,56.87
83,"949,580,499","58,495,417,380","272,378",79.50,1/06,48.00,12/01,58.71
84,"823,353,076","37,931,497,397","203,912",59.00,1/19,30.70,11/18,43.46
85,"1,714,074,216","91,723,034,778","401,332",68.00,6/29,33.50,1/06,51.86
86,"1,250,558,864","61,377,571,027","319,127",65.00,3/13,31.90,11/17,47.30
87,"1,849,661,361","60,131,838,290","382,571",40.50,4/07,26.00,6/16,31.91
88,"2,685,525,513","68,297,053,690","523,001",32.80,12/28,18.80,11/26,23.60
89,"5,548,023,141","182,625,692,190","1,161,183",55.50,2/18,14.30,12/28,26.13
90,"1,884,731,211","21,413,943,866","327,735",19.90,2/05,7.00,11/30,10.84
91,"4,689,899,084","49,714,536,126","597,953",13.90,4/23,7.10,10/04,9.99
92,"8,585,837,061","120,207,437,824","1,074,848",18.00,11/05,9.85,5/02,13.38
93,"5,485,320,455","99,820,233,639","757,635",21.80,3/02,13.45,6/18,17.55
94,"2,394,787,904","48,137,984,259","365,817",24.20,12/29,17.50,4/01,20.02
95,"2,583,983,536","65,383,983,531","435,681",31.10,12/04,20.85,6/13,25.13
96,"4,126,638,970","167,703,307,146","967,113",57.80,10/29,24.90,3/05,37.75
97,"5,751,198,365","216,149,688,843","1,521,166",60.70,3/24,14.15,10/28,38.48
98,"4,451,668,530","141,790,897,674","1,265,913",39.80,8/10,21.90,1/21,32.42
99,"3,412,904,787","104,291,531,761","940,779",36.40,1/07,24.60,5/07,30.43
100,"4,585,345,607","170,209,855,530","1,342,223",49.45,7/22,29.00,9/26,36.80
101,"2,554,837,863","91,718,648,714","792,658",39.75,12/07,31.60,5/18,35.78
102,"2,041,291,919","81,456,590,334","692,587",46.95,12/03,33.75,6/25,39.82
程蔼基,ら戳,程基,ら戳
114.00, 80/5/10,7.00, 90/11/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
