"1102 ㄈ猟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"437,053,826","30,426,050,708","148,581",81.00,5/10,44.50,1/16,68.17
81,"133,893,110","8,874,263,737","39,563",78.50,1/29,50.00,9/18,63.08
82,"405,571,711","22,745,671,771","73,940",66.00,3/05,45.80,9/16,54.02
83,"535,993,322","29,863,471,979","83,617",69.00,1/06,48.00,10/11,55.08
84,"581,003,147","30,022,065,025","80,307",61.50,2/25,35.40,11/23,48.91
85,"542,678,240","26,456,788,583","90,807",56.00,6/29,39.00,1/06,48.47
86,"597,509,042","27,678,037,648","125,102",56.00,3/14,35.10,10/30,44.72
87,"537,632,236","17,147,686,923","103,171",38.70,1/03,25.30,9/01,32.07
88,"858,162,705","22,800,270,078","170,445",33.00,4/21,18.90,2/05,25.88
89,"1,586,935,625","43,227,671,288","332,544",43.30,2/21,13.40,10/03,22.26
90,"428,884,000","5,498,053,685","94,323",20.30,1/04,8.70,11/05,12.23
91,"1,130,956,667","13,529,514,269","172,040",15.10,4/25,8.80,10/04,11.63
92,"1,763,601,858","27,355,020,752","228,502",18.80,12/29,10.75,4/28,14.66
93,"3,118,760,610","66,041,607,193","392,370",27.30,3/15,15.20,8/09,20.47
94,"834,743,209","16,951,235,152","144,824",22.80,1/03,16.80,10/20,19.88
95,"1,188,932,181","29,365,362,429","232,358",33.00,12/04,18.50,1/02,24.32
96,"2,092,978,335","89,447,917,422","499,261",58.90,10/12,29.85,3/05,40.70
97,"3,185,392,748","130,826,403,588","858,337",61.30,5/20,16.20,10/29,41.52
98,"3,256,176,177","109,213,648,350","883,790",39.00,5/19,23.05,1/21,33.45
99,"1,514,654,235","46,723,403,073","457,743",36.10,1/06,25.65,5/21,30.69
100,"2,367,931,176","86,008,126,823","729,593",48.30,7/22,28.25,9/26,35.72
101,"1,142,541,441","41,489,118,515","406,497",40.10,8/13,32.90,5/18,36.29
102,"1,117,937,941","41,582,699,323","392,316",40.30,10/17,34.85,6/25,37.41
程蔼基,ら戳,程基,ら戳
81.00, 80/5/10,8.70, 90/11/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
