"1104 吏猟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"661,967,624","38,130,709,226","246,090",69.00,5/10,38.50,1/17,56.32
81,"394,354,559","22,174,758,567","120,141",64.00,2/10,46.00,8/20,55.01
82,"484,352,622","25,558,613,553","134,119",63.50,3/05,39.60,9/16,49.30
83,"282,657,756","12,277,516,349","80,509",55.00,1/06,34.30,10/11,40.85
84,"533,283,555","18,368,448,743","111,271",44.20,2/25,19.60,8/15,29.88
85,"418,631,606","10,523,689,656","88,763",29.90,4/15,21.20,1/06,24.58
86,"470,411,789","10,764,138,398","99,433",28.20,3/13,15.00,12/01,20.43
87,"869,086,516","15,395,956,213","132,627",20.60,10/09,14.10,6/02,16.63
88,"613,926,110","8,069,057,780","96,533",17.60,4/06,9.40,12/28,12.54
89,"383,086,077","3,569,270,779","57,938",13.55,2/18,4.06,11/22,8.04
90,"200,841,142","1,207,599,723","23,251",7.00,9/21,4.00,7/19,5.54
91,"1,047,777,154","9,094,629,992","131,073",10.60,7/09,5.55,1/28,7.79
92,"1,551,361,134","17,517,802,923","237,724",15.20,11/06,7.20,5/02,10.50
93,"867,469,489","12,206,084,889","149,430",16.50,3/15,10.00,8/18,12.82
94,"285,887,496","3,330,913,825","50,033",13.20,1/04,9.95,10/20,11.45
95,"556,230,995","6,777,087,761","96,827",15.00,12/05,9.90,3/27,11.19
96,"751,322,488","12,212,029,488","151,610",20.80,7/18,11.25,12/18,14.30
97,"742,944,638","15,534,717,680","165,323",30.00,7/29,12.00,12/12,18.37
98,"421,925,293","6,758,595,277","120,252",18.75,11/13,11.20,3/03,15.01
99,"345,684,658","6,206,629,308","98,633",22.20,10/08,13.40,5/25,16.52
100,"195,901,044","3,406,113,875","53,100",20.45,1/04,12.75,12/19,16.89
101,"95,420,355","1,395,625,332","34,499",16.40,12/19,12.35,6/15,14.09
102,"317,488,328","7,250,401,391","113,047",35.20,12/09,15.90,1/02,20.72
程蔼基,ら戳,程基,ら戳
69.00, 80/5/10,4.00, 90/7/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
