"1108 ┋褐 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"487,781,246","27,795,689,329","173,770",71.50,5/06,32.10,1/17,55.46
81,"121,027,182","6,750,590,807","42,748",66.50,1/27,39.70,8/20,52.94
82,"210,718,631","9,708,335,911","58,564",55.50,3/04,34.80,9/07,43.20
83,"156,152,445","6,087,520,633","36,029",50.00,1/07,28.00,10/11,36.39
84,"382,815,347","12,769,728,670","83,286",42.00,2/25,21.30,8/15,29.87
85,"211,932,262","6,320,905,031","46,029",33.70,12/18,24.30,1/06,29.13
86,"244,847,478","7,124,281,192","45,567",35.40,3/13,17.30,11/15,25.28
87,"150,091,236","2,988,919,117","32,963",22.70,3/13,15.10,12/31,18.86
88,"170,768,292","2,285,810,657","35,839",16.80,10/05,9.55,11/08,12.10
89,"113,940,261","1,113,774,761","21,183",14.40,2/18,3.65,12/22,8.05
90,"51,551,576","193,848,699","10,189",6.15,2/08,2.24,11/29,3.60
91,"560,049,020","3,272,848,436","82,659",8.15,3/15,2.90,1/24,5.16
92,"664,758,573","4,257,239,783","97,408",8.90,12/31,3.83,5/02,5.46
93,"939,397,648","9,967,820,217","151,265",13.65,4/20,7.20,8/18,9.88
94,"197,121,017","1,555,155,344","39,565",9.80,1/03,6.55,10/20,7.72
95,"434,334,606","3,909,410,875","71,118",10.70,12/21,6.70,3/22,8.14
96,"1,056,205,819","14,952,877,435","228,904",17.85,7/18,7.35,12/21,11.79
97,"508,389,035","5,666,942,006","136,579",14.80,5/20,4.65,10/28,8.98
98,"363,065,143","2,885,000,855","94,332",9.98,8/18,5.07,2/24,7.52
99,"156,926,634","1,264,282,648","42,836",9.35,1/19,6.81,5/27,7.72
100,"172,762,675","1,307,312,077","50,110",9.20,5/12,5.05,11/24,6.89
101,"115,708,480","715,733,052","26,664",6.79,12/28,5.16,1/18,6.12
102,"123,878,163","939,538,051","32,110",8.50,11/29,6.60,1/25,7.56
程蔼基,ら戳,程基,ら戳
71.50, 80/5/06,2.24, 90/11/29
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
