"1110 狥猟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"72,170,332","3,045,316,284","21,089",47.60,12/22,35.30,12/28,41.65
84,"124,226,447","3,716,463,787","29,087",39.20,1/19,18.30,8/15,29.15
85,"217,996,883","5,838,908,121","47,090",34.90,12/31,20.90,7/26,25.61
86,"379,349,679","10,307,500,171","74,601",34.20,3/13,15.60,10/28,23.80
87,"453,374,037","8,495,894,012","69,074",23.80,4/09,11.10,12/31,17.40
88,"296,109,241","3,421,981,783","48,365",13.90,10/05,9.35,11/03,11.01
89,"121,902,033","1,191,195,276","25,127",13.45,2/18,4.60,11/22,8.12
90,"55,677,470","304,583,294","6,367",6.60,2/21,4.31,5/18,5.07
91,"177,450,999","1,101,541,811","25,220",7.80,12/24,4.65,9/09,5.69
92,"663,949,593","5,109,627,890","86,329",9.20,1/09,5.30,3/12,7.11
93,"913,675,303","9,390,849,219","136,798",13.15,3/16,7.15,8/18,9.10
94,"211,983,318","1,527,095,541","36,440",9.35,1/03,5.22,10/31,6.84
95,"528,840,880","4,852,267,938","82,038",13.30,12/25,5.91,3/17,7.32
96,"619,205,405","7,699,520,351","126,299",15.45,7/18,9.30,3/05,11.64
97,"825,754,605","11,342,981,556","191,524",19.50,4/18,6.19,10/27,11.43
98,"313,289,896","3,475,930,873","74,925",13.40,6/02,7.40,3/03,10.60
99,"166,570,629","2,040,567,214","40,515",13.80,10/11,9.75,2/08,11.87
100,"98,740,866","1,260,831,862","31,011",14.80,3/30,9.45,12/20,11.70
101,"69,348,495","866,890,793","18,883",14.70,9/24,9.50,1/09,12.16
102,"80,342,180","1,156,676,873","15,896",17.65,12/31,13.10,2/21,15.15
程蔼基,ら戳,程基,ら戳
47.60, 83/12/22,4.31, 90/5/18
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
