"1203  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"233,334,210","13,084,635,142","87,643",70.00,4/01,40.80,10/22,53.56
81,"135,165,048","6,148,213,148","43,114",52.00,1/24,34.90,9/18,42.61
82,"154,921,285","5,807,842,394","39,600",44.00,4/07,31.30,9/16,35.77
83,"102,283,182","3,547,038,496","29,197",42.40,1/06,30.00,12/01,34.04
84,"196,818,078","5,307,370,456","45,618",36.30,2/28,20.00,8/15,26.51
85,"646,939,586","17,640,656,923","128,785",32.40,11/05,21.30,2/01,25.32
86,"642,169,358","21,293,608,860","140,334",39.00,3/12,25.00,7/17,31.29
87,"876,737,524","27,089,761,888","206,939",41.50,4/07,18.00,9/01,27.55
88,"253,902,879","4,238,629,919","55,265",19.70,4/28,10.60,12/17,14.76
89,"124,973,566","1,914,248,828","25,003",18.80,4/07,5.50,10/20,12.97
90,"6,210,972","33,235,684",938,7.70,2/20,2.37,10/26,5.76
91,"30,395,985","222,332,735","7,191",10.35,8/05,2.64,7/05,7.01
92,"142,086,334","1,440,421,793","31,034",12.35,11/17,5.95,4/30,8.87
93,"686,474,455","10,047,507,566","134,092",18.50,3/09,9.45,8/18,12.24
94,"115,955,583","1,194,916,668","26,101",13.20,1/04,7.89,5/16,9.57
95,"137,416,630","1,750,950,920","32,697",16.65,12/18,9.70,6/09,11.76
96,"382,057,331","9,476,281,013","117,243",33.70,7/19,13.40,3/05,19.42
97,"291,222,383","6,834,894,127","105,041",30.10,4/16,8.78,10/28,18.71
98,"327,711,222","7,708,929,526","110,971",27.95,7/06,11.40,3/04,21.36
99,"194,058,886","5,069,318,272","77,471",29.40,1/18,21.50,2/06,24.99
100,"70,638,546","1,703,701,190","32,539",27.35,8/03,18.40,12/19,22.50
101,"44,939,363","966,633,916","23,317",23.90,9/27,18.55,5/25,20.58
102,"65,743,691","1,540,355,330","28,986",26.50,10/30,20.00,4/12,22.29
程蔼基,ら戳,程基,ら戳
70.00, 80/4/01,2.37, 90/10/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
