"1218  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"279,827,577","16,007,018,954","111,233",72.50,5/07,35.70,1/16,53.83
81,"228,928,061","11,249,773,105","78,180",60.50,6/15,24.30,12/29,44.11
82,"309,006,699","8,490,666,761","75,432",36.00,4/07,20.00,9/17,26.30
83,"754,676,301","19,923,354,978","132,675",32.40,1/06,19.40,10/11,25.96
84,"348,984,452","7,615,212,885","72,933",27.20,1/05,16.30,11/10,20.77
85,"1,654,445,928","41,833,978,863","233,212",33.20,6/08,16.10,3/06,21.63
86,"1,115,607,945","29,545,362,499","228,771",33.30,3/12,19.50,1/04,25.16
87,"366,709,465","9,065,108,655","88,298",31.00,4/08,11.50,12/31,21.19
88,"337,215,202","4,128,111,481","68,562",14.60,1/16,7.75,11/10,11.06
89,"399,219,017","5,354,496,897","86,550",19.50,2/19,4.00,11/24,9.60
90,"115,898,608","561,520,295","25,127",6.60,2/21,3.10,11/15,4.46
91,"611,947,833","3,915,828,622","94,479",8.15,5/06,3.84,1/02,5.67
92,"350,253,695","1,986,260,825","50,481",7.00,1/24,4.16,5/22,5.33
93,"769,205,326","6,964,851,930","111,129",12.20,3/02,5.45,1/02,7.88
94,"262,241,056","1,858,713,116","50,066",8.80,1/04,5.01,10/20,6.48
95,"356,571,062","2,427,174,830","70,888",8.34,12/29,5.11,3/22,6.29
96,"889,068,129","8,920,447,531","180,289",14.15,7/19,6.60,3/06,8.97
97,"826,885,591","8,229,660,598","201,966",13.80,4/25,4.04,10/28,8.69
98,"1,555,573,425","17,812,745,808","343,859",14.35,11/12,5.65,3/03,10.64
99,"1,823,662,372","30,379,019,260","493,269",20.50,8/19,10.15,2/06,15.45
100,"720,805,777","13,274,259,228","235,500",23.50,7/29,12.60,12/20,16.92
101,"453,024,923","7,358,409,796","153,023",18.40,3/05,13.80,1/09,15.73
102,"346,155,525","5,118,317,142","121,023",16.45,1/11,12.90,11/14,14.63
程蔼基,ら戳,程基,ら戳
72.50, 80/5/07,3.10, 90/11/15
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
