"1227 ㄎ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"90,454,104","10,392,170,726","35,581",128.00,8/09,89.50,4/09,112.95
84,"70,741,961","5,555,099,915","23,873",124.00,2/04,50.50,8/05,70.46
85,"71,223,264","4,312,124,574","25,205",71.00,1/08,48.30,3/11,59.50
86,"196,613,213","11,595,922,796","70,566",82.00,1/23,47.90,10/21,57.26
87,"192,418,158","11,669,456,419","72,638",76.00,8/12,47.10,1/12,61.14
88,"250,699,259","9,468,975,518","94,694",58.50,1/08,20.90,12/20,35.50
89,"244,923,005","5,200,119,535","73,023",31.00,2/24,10.60,9/19,17.75
90,"134,603,339","1,407,021,284","35,992",14.05,2/01,6.70,11/14,9.26
91,"227,403,115","2,094,727,568","45,311",11.40,4/26,7.25,10/14,8.61
92,"170,579,077","1,469,637,585","33,832",10.00,1/16,7.05,5/02,8.33
93,"344,904,991","3,659,954,423","62,652",12.35,2/10,8.60,3/26,10.51
94,"125,691,986","1,588,011,283","28,070",15.55,12/16,11.00,4/21,12.48
95,"99,672,036","1,451,865,274","21,753",16.20,5/29,12.95,11/02,14.39
96,"186,252,044","3,380,430,376","52,855",23.90,7/18,13.80,1/11,17.07
97,"653,149,752","16,701,782,344","198,947",37.00,5/22,14.70,10/28,22.22
98,"581,247,642","17,549,014,696","193,006",44.20,12/31,20.00,2/02,30.04
99,"593,848,853","42,062,070,457","290,867",93.90,7/30,37.20,2/05,69.56
100,"787,229,135","78,090,986,500","436,412",141.50,8/01,69.10,1/17,94.18
101,"550,576,238","49,004,228,722","351,173",113.50,3/05,69.60,7/17,87.21
102,"370,863,044","33,709,178,556","256,407",107.50,5/02,78.90,1/17,90.47
程蔼基,ら戳,程基,ら戳
141.50, 100/8/01,6.70, 90/11/14
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
