"1233 ぱく Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"37,116,673","621,040,529","12,750",23.30,4/29,10.50,11/17,15.94
89,"100,651,201","1,461,323,723","21,641",19.50,2/23,9.95,10/30,12.83
90,"42,710,933","543,331,643","8,820",15.60,3/29,10.40,7/24,12.20
91,"37,565,895","514,498,187","11,079",16.70,12/11,11.80,1/25,13.92
92,"52,773,646","895,338,471","15,204",19.00,6/02,14.80,5/05,16.37
93,"36,004,307","719,736,734","8,856",22.50,10/11,16.40,7/26,20.55
94,"11,554,479","266,219,617","3,969",26.15,6/27,21.50,1/26,23.11
95,"24,445,466","732,090,880","9,146",33.65,7/04,23.40,1/11,27.73
96,"39,192,648","1,207,624,435","17,428",34.75,7/19,28.00,12/20,29.68
97,"19,784,037","586,820,007","9,665",34.00,5/30,24.80,10/27,28.45
98,"40,998,473","1,398,308,826","18,864",40.50,12/16,25.30,3/02,30.99
99,"76,600,623","3,697,051,720","34,171",57.30,8/16,35.00,2/05,47.17
100,"35,210,088","1,887,150,597","19,635",61.00,4/08,41.10,11/25,52.03
101,"16,214,600","758,362,801","8,499",52.00,5/17,42.00,11/22,46.85
102,"12,024,594","564,093,211","8,167",51.40,4/02,43.50,11/01,46.96
程蔼基,ら戳,程基,ら戳
61.00, 100/4/08,9.95, 89/10/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
