"1235 砍 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"4,796,603","37,706,550","1,493",8.80,10/09,6.80,11/21,7.78
90,"167,870,193","2,226,792,764","45,558",16.50,12/13,7.70,1/02,11.71
91,"238,178,078","4,505,751,720","57,563",26.00,4/22,13.30,8/06,17.29
92,"31,880,997","670,407,288","8,486",24.80,4/14,17.50,1/02,20.88
93,"29,424,941","532,448,561","5,871",26.60,3/31,12.80,12/15,19.39
94,"35,588,645","479,011,796","7,045",15.00,3/01,12.20,8/22,13.34
95,"9,363,725","132,509,659","2,739",16.40,12/29,13.30,7/05,14.20
96,"9,749,072","194,929,109","3,250",23.70,9/21,15.00,2/02,19.29
97,"13,644,837","426,580,524","3,735",45.70,4/14,22.15,1/03,33.28
98,"9,303,617","317,139,987","2,113",38.15,4/28,29.75,1/21,33.46
99,"51,445,567","2,708,868,498","28,226",91.10,8/25,31.60,4/15,40.06
100,"30,649,276","939,204,890","17,156",39.20,1/04,21.90,12/19,28.10
101,"19,939,949","524,583,078","9,060",33.00,2/23,22.05,5/17,24.90
102,"12,428,031","316,915,594","3,784",30.45,10/11,24.00,7/19,25.19
程蔼基,ら戳,程基,ら戳
91.10, 99/8/25,6.80, 89/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
