"1236 Щㄈ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"5,833,531","32,256,634","1,343",7.10,12/11,4.84,10/31,5.62
91,"137,982,280","1,788,944,200","41,575",17.50,7/02,6.10,1/02,10.53
92,"97,190,717","1,480,534,521","29,119",20.40,12/17,11.50,5/02,14.53
93,"61,265,076","1,207,769,290","15,957",22.70,2/20,14.60,7/22,17.89
94,"38,605,847","653,952,177","11,805",18.80,3/02,15.45,7/21,16.83
95,"29,599,237","517,140,257","10,519",19.80,4/26,15.00,9/15,17.03
96,"94,650,721","1,742,470,814","32,034",22.55,7/19,15.00,12/24,16.75
97,"46,910,722","774,372,243","17,742",21.20,5/12,8.67,10/27,14.73
98,"22,389,494","343,874,229","9,667",17.70,11/24,11.70,3/04,15.43
99,"83,721,590","2,129,526,035","39,744",33.95,8/10,16.80,2/08,23.39
100,"58,619,683","1,542,847,018","30,640",31.90,8/12,20.00,9/29,23.81
101,"16,486,354","382,318,442","10,983",26.00,2/29,20.05,11/22,22.61
102,"28,236,449","742,722,460","17,056",30.55,7/18,20.80,1/22,25.05
程蔼基,ら戳,程基,ら戳
33.95, 99/8/10,4.84, 90/10/31
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
