"1309 笷て Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"644,855,737","26,840,051,394","205,327",54.00,4/12,25.00,1/17,38.53
81,"294,364,788","9,000,400,641","87,594",36.90,4/22,19.60,9/18,29.52
82,"762,448,218","23,024,068,924","157,223",36.20,12/22,18.90,1/07,29.10
83,"1,544,250,115","82,153,107,927","346,572",80.50,8/20,29.50,3/14,46.85
84,"1,522,775,630","60,411,701,004","354,014",70.00,4/06,22.80,8/25,41.55
85,"878,031,985","30,010,857,006","202,979",40.00,3/16,26.90,7/27,32.79
86,"967,471,188","32,701,973,627","217,169",45.20,1/29,19.00,10/17,29.68
87,"1,920,331,553","56,921,559,820","389,842",36.40,1/17,19.60,8/25,27.61
88,"1,995,327,624","59,931,143,377","452,836",38.80,5/05,19.00,2/06,27.80
89,"693,899,385","15,043,100,880","173,881",32.10,1/29,5.25,11/21,16.55
90,"469,707,349","3,384,040,035","90,359",11.05,1/29,4.01,7/25,6.42
91,"1,847,605,288","21,572,434,677","325,195",17.00,3/27,6.75,10/08,10.68
92,"1,370,227,285","16,139,040,940","273,403",15.00,1/16,6.45,5/02,10.96
93,"1,322,488,450","16,619,720,325","263,754",15.00,2/17,8.60,5/11,12.04
94,"287,612,998","2,875,261,042","67,999",12.70,1/03,6.90,10/20,9.26
95,"299,559,628","2,472,897,137","65,972",9.55,12/05,6.59,6/09,7.72
96,"578,778,376","6,451,309,115","121,889",14.50,10/22,8.02,3/06,10.04
97,"326,600,986","3,462,312,963","78,020",13.00,5/15,4.20,11/21,8.89
98,"1,112,055,894","12,136,970,526","209,569",14.70,11/18,4.65,3/03,9.41
99,"684,694,685","8,865,411,689","153,834",15.10,1/15,9.95,6/09,12.40
100,"799,543,198","12,827,879,290","216,461",22.90,8/03,10.00,12/20,14.83
101,"213,492,980","2,585,118,534","71,140",15.25,2/21,8.50,10/30,11.09
102,"604,192,562","7,308,643,271","172,271",14.40,10/07,8.93,4/08,11.00
程蔼基,ら戳,程基,ら戳
80.50, 83/8/20,4.01, 90/7/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
