"1316 耟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"17,067,000","1,252,772,500","9,502",81.50,10/22,63.00,10/15,71.75
82,"152,573,867","9,209,247,115","60,504",85.00,5/17,44.30,11/19,61.15
83,"255,627,452","11,982,621,625","67,083",57.50,1/17,30.20,11/08,43.68
84,"173,741,207","5,131,132,607","45,200",37.20,4/10,18.50,11/30,26.74
85,"225,526,463","4,954,547,283","55,497",28.30,9/21,16.30,3/13,20.15
86,"338,787,171","7,026,536,871","82,211",26.00,4/28,15.70,12/01,19.80
87,"463,624,125","8,014,066,878","97,348",21.70,3/05,10.20,12/28,15.93
88,"201,595,682","2,214,454,495","39,096",13.25,4/19,5.50,11/10,9.65
89,"695,224,687","11,293,554,907","129,339",29.20,4/20,2.47,11/21,11.28
90,"118,517,424","372,138,933","23,084",4.58,2/07,1.26,11/12,2.58
91,"411,056,209","1,610,533,041","60,105",6.15,4/09,1.81,1/23,3.33
92,"454,004,189","2,037,009,879","67,017",6.15,11/12,2.70,5/02,3.91
93,"303,631,198","1,579,395,284","48,020",6.65,2/11,2.82,8/19,4.20
94,"67,123,696","155,667,586","11,859",3.60,1/04,1.35,10/06,2.22
95,"196,321,524","1,427,582,575","37,293",11.85,12/26,2.10,3/21,4.45
96,"152,190,246","1,371,158,068","36,182",11.45,1/03,4.65,12/19,8.35
97,"56,582,408","350,191,788","13,859",8.19,5/19,3.22,11/24,5.83
98,"48,598,211","307,640,327","11,145",9.24,12/31,3.17,1/20,6.19
99,"80,251,311","1,057,474,206","21,718",21.10,12/31,8.61,1/22,11.33
100,"146,160,339","3,422,524,982","56,337",32.75,8/04,15.00,11/25,22.20
101,"211,407,581","3,616,570,439","73,515",26.15,7/05,7.31,11/09,18.26
102,"209,028,636","2,521,277,704","66,081",14.20,3/29,10.10,2/06,11.69
程蔼基,ら戳,程基,ら戳
85.00, 82/5/17,1.26, 90/11/12
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
