"1321 瑅 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"46,848,949","1,243,673,147","13,067",30.60,10/02,16.80,12/27,25.01
89,"19,421,034","335,102,865","6,505",23.00,1/29,9.85,12/30,14.91
90,"6,666,569","44,840,869","2,375",10.15,1/04,4.75,8/08,6.98
91,"78,068,296","732,682,641","17,026",12.20,4/26,5.90,1/16,8.72
92,"89,234,383","897,831,652","19,255",12.60,12/25,6.45,5/02,9.24
93,"206,032,221","3,811,851,368","54,291",24.00,4/20,12.10,1/02,16.66
94,"58,122,989","792,934,698","15,578",17.35,3/10,9.65,10/20,12.33
95,"316,248,092","5,718,147,804","71,714",24.50,12/21,10.00,1/23,14.74
96,"264,397,976","6,012,707,626","78,383",33.05,7/26,16.20,12/20,21.02
97,"208,252,502","5,067,398,879","68,526",31.80,4/24,8.05,10/28,19.48
98,"194,606,754","4,002,010,576","62,027",28.45,7/27,9.03,2/02,19.04
99,"87,592,140","2,037,973,465","34,437",27.00,1/05,18.90,6/09,22.34
100,"68,966,162","1,482,391,329","25,295",25.20,1/04,18.20,10/04,20.51
101,"138,496,682","3,593,568,883","46,323",32.25,9/25,18.60,1/16,23.11
102,"328,810,316","11,053,876,096","133,718",42.40,6/03,24.40,2/22,32.97
程蔼基,ら戳,程基,ら戳
42.40, 102/6/03,4.75, 90/8/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
