"1325  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"7,830,212","112,612,900","1,885",20.90,9/26,10.50,12/28,14.32
90,"51,039,750","709,607,918","12,940",20.70,3/12,7.10,10/30,11.88
91,"41,592,616","392,996,618","11,854",11.75,4/29,6.65,10/04,8.63
92,"283,328,688","3,557,691,393","74,172",19.60,5/08,7.60,3/28,10.72
93,"127,080,006","1,382,670,342","29,504",13.60,2/04,6.85,12/20,8.77
94,"254,187,332","3,537,370,194","65,278",18.80,11/17,7.20,1/28,10.14
95,"218,090,466","2,753,654,681","58,591",15.75,2/20,9.45,6/09,11.63
96,"155,713,585","1,944,054,389","39,463",15.05,7/18,10.20,3/14,12.16
97,"98,894,128","1,295,191,969","31,252",16.90,5/20,6.82,10/28,11.22
98,"429,512,509","10,994,515,088","144,744",34.50,8/27,8.58,3/03,20.91
99,"81,805,264","2,023,921,275","35,243",27.55,9/09,19.00,2/08,23.99
100,"73,648,810","1,805,607,176","34,415",29.50,3/17,16.95,8/11,21.37
101,"40,199,074","724,271,745","18,789",20.40,3/05,15.75,7/26,17.17
102,"175,572,591","3,603,054,004","76,680",24.80,4/29,16.90,3/06,18.89
程蔼基,ら戳,程基,ら戳
34.50, 98/8/27,6.65, 91/10/04
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
