"1326 て Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"4,836,878,216","201,641,085,486","948,972",58.00,11/06,30.70,4/28,42.85
93,"2,731,751,010","147,195,043,875","515,921",62.50,10/04,43.00,5/17,53.80
94,"2,015,937,109","115,374,763,711","455,422",67.40,3/11,48.75,9/29,56.70
95,"1,832,868,556","92,513,892,610","454,096",55.10,12/27,43.55,7/25,50.34
96,"2,440,251,328","181,570,730,499","648,551",92.50,10/12,53.50,1/10,73.01
97,"2,558,631,054","169,342,603,740","818,248",88.00,1/15,39.50,12/24,63.41
98,"1,723,135,266","89,539,032,459","610,883",70.60,11/17,33.30,3/04,53.10
99,"1,923,216,898","151,458,778,491","649,414",99.20,12/16,66.30,1/29,77.17
100,"2,542,876,516","242,448,181,825","903,357",119.00,4/11,73.80,8/09,95.65
101,"1,445,680,969","113,634,191,304","619,869",93.70,3/06,58.70,11/15,78.53
102,"1,172,314,905","89,262,133,884","511,022",86.10,12/11,66.20,6/21,76.48
程蔼基,ら戳,程基,ら戳
119.00, 100/4/11,30.70, 92/4/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
