"1409 穝胖 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"3,956,881,561","112,476,092,868","793,006",39.60,4/12,9.75,1/17,26.92
81,"753,450,621","17,468,866,543","174,837",30.50,1/16,14.00,9/18,21.38
82,"2,139,086,960","38,569,260,448","314,439",27.50,12/31,12.50,9/16,15.86
83,"7,090,574,670","216,281,047,256","976,973",51.50,12/27,20.50,10/11,28.09
84,"6,820,957,667","235,170,821,370","993,942",52.00,2/20,22.80,11/14,32.94
85,"4,382,415,896","100,856,938,492","639,762",26.80,6/29,18.10,3/13,22.17
86,"5,378,215,991","123,148,134,636","806,343",27.30,4/25,13.40,10/17,20.14
87,"3,608,857,076","56,145,091,559","479,139",21.00,3/12,9.30,9/01,14.65
88,"4,227,771,211","59,594,990,547","526,822",20.30,5/04,8.60,12/17,12.76
89,"2,274,831,640","20,923,369,090","274,653",14.70,2/21,2.21,11/21,7.05
90,"587,373,893","1,754,726,687","65,508",4.85,2/06,1.96,10/08,2.81
91,"2,792,436,905","15,972,106,269","273,091",7.90,4/25,2.43,1/02,5.14
92,"5,045,028,152","35,386,971,627","476,957",10.35,2/06,3.86,5/02,6.59
93,"3,980,431,433","36,359,268,552","396,099",13.15,11/15,5.65,5/18,8.29
94,"897,703,599","7,237,225,846","125,240",9.95,1/04,5.16,10/21,7.19
95,"3,103,822,441","23,211,968,538","349,083",9.40,12/11,5.12,3/23,6.66
96,"5,596,420,309","67,862,304,333","743,514",16.75,7/19,7.48,1/11,11.03
97,"2,109,975,435","20,541,970,096","312,855",13.65,4/16,3.45,11/21,8.31
98,"3,045,963,968","25,034,565,105","462,432",11.25,12/31,3.60,3/03,7.46
99,"7,379,395,930","98,881,340,072","1,151,334",17.60,11/09,9.33,2/06,12.65
100,"2,578,235,037","32,651,600,388","528,597",16.95,1/04,7.36,12/19,11.71
101,"1,830,128,807","17,923,315,803","427,737",11.30,3/09,8.00,1/02,9.39
102,"1,103,837,552","10,899,735,156","255,673",10.85,10/07,8.70,4/16,9.76
程蔼基,ら戳,程基,ら戳
52.00, 84/2/20,1.96, 90/10/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
