"1423 地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,278,772,940","68,933,291,861","411,051",90.00,11/26,20.60,1/17,47.68
81,"1,167,701,410","83,011,540,990","423,731",95.00,2/25,35.00,12/29,62.96
82,"837,425,832","32,945,984,257","252,550",55.00,4/07,27.80,9/16,37.06
83,"1,647,510,221","63,971,011,917","372,637",49.80,9/12,27.00,3/16,37.01
84,"632,900,675","16,038,499,923","159,452",41.30,1/06,14.75,8/15,25.41
85,"859,057,160","20,097,698,431","186,140",28.80,7/06,18.50,2/01,22.90
86,"619,063,214","14,350,323,294","138,648",28.50,4/16,14.50,10/18,20.28
87,"489,253,190","8,328,962,043","98,734",21.20,4/13,8.60,12/31,15.47
88,"377,430,006","3,739,010,267","62,230",13.10,4/29,6.20,11/08,8.75
89,"128,454,877","955,385,468","22,835",11.00,2/22,2.62,11/22,5.96
90,"391,978,858","2,211,544,120","60,381",7.45,12/18,3.14,1/02,4.89
91,"947,993,091","7,361,757,604","123,143",10.45,6/25,4.14,10/04,6.88
92,"816,747,989","6,801,773,779","107,418",11.30,1/27,6.00,5/02,7.75
93,"368,358,381","2,970,636,289","57,098",10.10,2/10,5.05,8/18,6.55
94,"77,730,344","383,221,905","14,378",6.75,1/03,3.81,9/23,4.59
95,"309,496,206","1,930,230,341","48,912",8.55,12/07,3.40,3/27,5.31
96,"509,774,884","5,091,406,446","84,768",12.80,9/11,7.52,1/11,9.37
97,"273,709,860","2,532,344,556","51,512",11.55,3/25,3.15,11/21,7.36
98,"233,510,836","1,463,952,197","41,749",8.36,12/15,3.30,1/21,5.64
99,"274,936,657","2,353,676,626","54,714",9.78,10/18,6.85,2/06,8.25
100,"121,714,546","1,056,778,591","25,587",9.55,7/22,6.81,12/20,8.35
101,"49,380,168","365,819,034","10,992",8.30,3/07,6.49,11/05,7.27
102,"100,778,598","783,784,760","22,338",8.89,10/07,6.80,4/16,7.36
程蔼基,ら戳,程基,ら戳
95.00, 81/2/25,2.62, 89/11/22
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
