"1432 緗徽 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,036,816,788","54,548,303,387","330,413",76.00,4/22,29.50,1/16,50.14
81,"593,602,832","22,723,810,369","193,682",53.00,2/10,18.60,12/29,33.99
82,"1,144,327,039","26,369,801,454","235,472",28.70,4/07,15.60,1/08,21.52
83,"1,100,101,624","29,770,448,467","205,157",32.80,5/05,19.60,10/11,26.05
84,"715,389,517","13,868,719,603","132,276",29.00,1/05,10.60,8/15,18.35
85,"567,236,274","9,271,521,114","99,545",21.70,12/31,14.00,2/28,15.76
86,"296,209,419","8,496,547,916","67,499",34.50,3/12,21.00,1/04,28.81
87,"323,620,362","13,126,809,654","87,381",57.00,7/24,21.00,12/31,38.07
88,"186,209,613","3,288,350,952","48,104",22.30,1/18,8.50,11/20,15.81
89,"72,251,136","912,889,100","17,193",17.50,2/21,7.20,12/28,10.74
90,"16,472,324","125,473,927","3,739",8.60,3/20,5.50,10/19,7.67
91,"19,345,103","128,823,813","4,995",9.00,3/28,4.50,11/04,6.05
92,"30,458,700","252,052,084","6,339",11.60,3/19,6.10,1/02,7.93
93,"13,341,587","100,268,124","5,484",9.50,2/11,5.90,11/30,7.09
94,"6,131,094","35,395,737","1,373",8.40,1/07,0.82,11/30,4.71
95,"5,988,401","43,063,894","3,481",9.49,12/28,1.24,3/08,5.84
96,"22,178,206","171,693,575","8,485",10.50,7/23,3.90,9/17,6.98
97,"699,586","3,553,373",410,7.25,3/06,1.12,12/01,4.99
98,"2,034,098","12,853,275","1,021",9.80,11/06,1.10,2/05,5.69
99,"19,166,180","271,046,984","8,107",19.15,12/31,5.85,1/25,10.41
100,"55,335,956","816,602,413","18,531",20.40,1/03,6.98,12/20,13.16
101,"87,109,617","1,034,636,139","27,976",14.50,9/26,7.91,1/03,10.86
102,"253,888,401","6,981,806,151","118,158",39.60,6/07,12.50,1/17,24.92
程蔼基,ら戳,程基,ら戳
76.00, 80/4/22,0.82, 94/11/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
