"1435 い褐 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"596,784,398","21,409,465,991","198,827",48.60,5/07,20.40,1/17,34.57
81,"315,416,660","9,290,987,760","85,817",38.50,2/17,15.20,9/18,26.28
82,"652,979,773","15,377,912,166","135,256",30.50,4/07,13.70,1/08,21.57
83,"724,247,633","20,092,203,068","145,200",34.10,1/31,21.10,10/11,26.40
84,"276,611,344","6,209,913,934","50,650",29.30,1/05,12.10,8/14,20.21
85,"56,967,131","1,020,925,292","16,655",20.60,4/17,15.00,1/30,17.02
86,"286,605,327","6,545,690,412","77,454",27.90,4/15,16.00,1/04,21.80
87,"186,401,945","4,161,473,777","45,097",27.50,6/25,12.00,12/30,20.18
88,"96,136,794","1,548,244,321","13,569",18.90,5/15,9.85,2/06,13.75
89,"38,052,372","449,692,176","6,459",15.40,2/15,8.95,8/30,11.77
90,"54,518,022","581,744,212","10,277",12.55,4/26,8.40,3/21,10.49
91,"15,127,354","175,797,084","2,931",12.50,12/24,8.75,11/18,10.91
92,"115,761,263","1,396,905,844","29,706",15.30,9/26,8.00,8/18,10.75
93,"99,651,519","949,417,235","24,279",13.10,2/09,5.20,11/05,7.62
94,"185,744,252","1,846,779,510","30,392",17.15,11/30,5.00,5/23,9.18
95,"138,544,989","1,678,951,483","24,616",15.40,3/10,4.68,9/07,9.40
96,"206,886,941","2,154,915,110","35,262",16.80,7/25,4.92,1/22,8.60
97,"137,956,785","837,284,367","34,738",9.36,5/19,1.91,12/24,4.87
98,"118,517,698","454,851,158","23,589",6.01,10/29,1.72,2/04,3.32
99,"379,228,431","3,012,655,242","91,752",11.30,9/06,4.04,2/06,6.89
100,"82,024,082","510,553,877","25,180",8.80,1/04,3.11,12/20,5.40
101,"228,506,233","1,430,698,045","59,082",7.90,10/23,3.20,7/24,4.63
102,"90,409,125","586,738,297","24,102",7.26,6/07,5.36,4/16,6.27
程蔼基,ら戳,程基,ら戳
48.60, 80/5/07,1.72, 98/2/04
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
