"1443 ミ痲 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"912,702,807","34,370,900,392","261,506",48.10,5/06,18.80,1/17,36.24
81,"356,105,556","12,467,641,839","105,280",47.40,2/11,19.00,12/29,31.56
82,"719,050,267","16,521,110,689","138,320",28.90,12/31,17.50,1/08,21.36
83,"1,293,623,641","42,103,692,824","231,517",41.00,2/02,23.20,10/11,31.56
84,"340,942,523","6,883,558,568","70,866",32.60,1/05,13.60,8/15,20.46
85,"459,866,464","8,956,608,273","99,013",23.70,4/29,13.85,2/28,18.34
86,"438,199,221","10,462,080,911","105,220",30.70,3/12,17.60,10/29,22.59
87,"384,831,368","7,362,205,050","79,652",24.70,4/09,11.00,12/31,17.31
88,"219,971,776","2,458,533,486","38,290",14.90,5/05,6.25,12/20,9.32
89,"92,511,887","748,247,401","18,847",12.20,2/22,3.24,12/11,6.16
90,"59,973,442","201,939,774","9,483",4.70,3/29,1.88,11/09,2.95
91,"113,977,158","408,838,179","16,173",5.05,4/26,2.09,1/02,3.47
92,"132,204,233","546,572,792","20,122",5.45,2/07,2.35,5/02,3.72
93,"215,240,768","1,038,890,042","27,977",6.70,2/11,2.96,7/06,4.12
94,"40,606,348","129,764,682","6,712",3.99,1/04,2.40,12/14,3.04
95,"63,930,881","254,359,834","11,873",5.35,12/12,2.56,1/05,3.35
96,"132,826,696","622,119,420","22,983",5.88,7/26,2.81,12/21,4.15
97,"68,677,544","188,039,291","13,974",4.12,4/17,1.08,10/28,2.46
98,"215,838,909","601,770,296","33,627",3.55,10/14,1.34,2/24,2.48
99,"306,536,618","1,136,725,635","53,540",4.55,8/23,2.73,2/06,3.45
100,"244,680,540","1,068,458,579","51,447",6.88,9/22,3.02,8/09,4.39
101,"42,461,984","222,727,043","13,811",6.70,2/15,3.88,9/03,5.03
102,"109,206,235","822,030,304","29,594",10.50,10/09,4.76,4/10,6.65
程蔼基,ら戳,程基,ら戳
48.10, 80/5/06,1.08, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
