"1444 腞 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"381,107,389","28,634,831,029","142,728",94.00,5/06,41.00,1/17,65.75
81,"323,768,684","17,245,343,792","123,949",76.50,2/13,27.20,12/29,50.44
82,"1,664,384,466","75,285,013,313","383,639",65.50,5/06,25.00,1/08,41.09
83,"1,293,040,088","51,277,300,532","245,807",49.60,12/15,26.80,10/11,37.81
84,"1,514,366,140","43,313,835,003","310,487",43.90,4/06,20.00,8/25,28.56
85,"1,349,950,803","33,085,727,402","243,856",28.40,8/24,19.00,3/13,23.55
86,"1,904,860,614","48,308,596,726","331,561",30.40,4/03,19.70,10/17,24.35
87,"2,042,693,144","47,799,262,147","357,964",32.50,3/21,11.80,12/31,20.70
88,"2,193,098,648","31,317,146,036","302,876",20.40,5/04,8.00,2/05,12.42
89,"1,212,481,583","10,631,625,485","167,704",13.45,2/21,2.15,11/24,7.24
90,"579,783,564","2,097,761,171","69,587",4.78,4/10,2.48,6/04,3.35
91,"1,377,055,687","8,606,277,761","151,116",9.30,3/27,3.44,1/02,5.79
92,"3,575,348,610","24,924,753,191","390,825",10.20,1/24,3.93,5/02,6.58
93,"2,037,243,942","15,152,705,524","233,299",9.15,2/02,4.85,8/05,6.63
94,"624,198,092","3,230,272,940","86,095",7.70,1/03,3.11,11/09,4.55
95,"809,105,606","3,311,773,984","95,220",5.67,12/05,2.80,3/28,3.64
96,"2,268,191,425","20,924,140,200","315,564",13.10,10/02,4.30,1/12,8.56
97,"981,727,666","8,368,121,471","161,793",11.70,4/17,3.03,10/28,7.20
98,"1,002,273,350","6,086,502,045","149,147",8.94,12/31,3.63,3/03,5.61
99,"3,084,680,210","44,086,751,270","586,103",19.40,10/18,6.96,2/06,13.12
100,"1,376,011,733","21,460,870,518","320,526",18.85,2/08,9.12,12/19,14.27
101,"963,249,066","11,245,469,778","233,076",13.85,3/08,9.61,10/29,11.20
102,"475,303,182","5,178,804,132","140,274",11.85,1/07,9.90,4/16,10.73
程蔼基,ら戳,程基,ら戳
94.00, 80/5/06,2.15, 89/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
