"1454 碔 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
82,"78,491,310","4,154,543,709","36,619",65.00,5/19,34.20,5/07,50.82
83,"178,188,742","8,450,879,064","52,078",66.50,8/01,31.00,11/02,45.06
84,"182,873,303","5,202,646,463","41,647",40.00,1/23,14.60,8/14,25.56
85,"518,346,418","12,726,332,972","79,561",30.50,10/18,17.80,3/13,21.93
86,"665,586,380","19,759,168,606","119,892",44.20,4/26,19.30,11/17,29.87
87,"703,321,618","19,366,014,040","148,261",34.50,4/07,19.50,12/30,25.72
88,"155,236,468","2,391,531,134","36,600",20.20,1/05,8.45,12/27,13.29
89,"77,315,629","720,326,727","14,937",13.75,2/22,4.69,11/22,8.52
90,"45,051,606","269,440,363","7,306",7.70,1/12,4.44,8/20,5.78
91,"51,445,924","355,661,323","10,984",9.25,3/26,5.20,9/09,6.25
92,"26,089,221","151,298,673","7,011",7.40,1/27,4.75,4/28,5.52
93,"179,531,286","1,368,221,008","34,730",9.50,4/14,5.30,8/18,6.57
94,"41,541,047","216,149,755","8,273",6.55,1/04,3.87,9/16,5.03
95,"51,269,705","272,133,598","12,568",6.30,12/21,3.95,9/15,4.70
96,"80,312,656","560,706,563","18,744",9.25,7/19,5.10,3/22,6.63
97,"21,215,105","143,471,722","7,308",8.38,5/23,3.70,10/28,6.35
98,"26,409,846","150,128,957","7,838",7.50,12/28,4.00,2/18,5.66
99,"56,295,754","459,994,232","17,177",9.51,10/06,6.30,5/07,7.90
100,"133,669,850","1,377,711,030","38,681",12.50,5/06,7.00,12/20,9.11
101,"52,058,405","399,517,959","17,086",8.64,9/28,6.50,11/01,7.32
102,"41,820,084","314,326,693","12,256",8.68,12/26,6.92,2/05,7.35
程蔼基,ら戳,程基,ら戳
66.50, 83/8/01,3.70, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
