"1463 眏脖 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"35,053,758","1,003,320,620","11,880",31.00,12/23,25.60,12/05,28.65
86,"256,393,132","7,969,767,757","67,394",42.00,4/26,19.20,10/29,30.62
87,"606,404,517","17,237,859,301","121,846",42.40,4/02,15.10,12/31,24.40
88,"192,940,391","3,172,528,848","36,708",21.50,5/10,11.35,2/05,15.37
89,"128,801,872","1,539,482,280","22,788",17.40,2/21,6.90,12/30,11.29
90,"45,320,744","308,344,780","9,355",8.55,2/06,3.78,10/16,5.81
91,"53,224,445","279,221,382","9,766",7.00,4/25,3.70,10/14,4.77
92,"51,480,441","241,381,570","9,524",6.25,2/06,3.52,5/02,4.34
93,"385,743,022","3,030,930,278","62,203",9.95,4/21,4.65,1/02,7.08
94,"96,406,665","621,808,621","16,620",8.35,1/04,4.90,11/02,6.24
95,"90,595,256","506,392,354","14,521",8.19,12/29,3.93,8/29,4.85
96,"177,192,798","1,519,512,515","30,833",12.70,7/19,4.98,12/21,7.39
97,"49,264,168","301,151,673","10,060",9.20,4/21,2.01,11/20,5.62
98,"200,949,925","1,593,844,776","33,032",11.30,12/16,2.25,1/20,5.12
99,"445,578,891","4,616,942,846","83,040",12.50,1/06,8.26,6/10,9.76
100,"164,018,522","1,816,494,736","26,687",13.90,1/28,6.51,12/21,10.32
101,"231,252,510","2,551,990,573","44,062",14.20,9/24,7.20,1/17,10.30
102,"537,280,253","8,554,464,245","146,647",21.70,11/28,11.20,1/28,14.48
程蔼基,ら戳,程基,ら戳
42.40, 87/4/02,2.01, 97/11/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
