"1466 籈订 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"879,951,532","25,121,533,949","178,477",41.60,4/14,15.10,12/31,28.16
88,"1,116,418,063","10,385,239,010","138,745",14.05,1/05,2.72,11/10,7.53
89,"379,312,451","1,777,714,601","44,081",8.55,2/22,0.70,11/20,3.29
90,"227,464,566","246,556,998","22,057",2.12,2/15,0.50,10/19,0.91
91,"188,980,509","328,344,091","19,678",3.45,4/30,0.57,1/02,1.81
92,"131,094,771","424,053,383","17,918",4.85,3/03,1.70,1/02,3.42
93,"208,619,576","1,410,261,366","36,893",9.50,9/23,3.88,1/13,6.31
94,"60,439,123","357,814,948","12,944",8.50,1/04,2.95,9/27,5.08
95,"63,290,193","353,969,917","13,660",7.95,12/26,3.01,1/03,4.76
96,"249,084,116","2,446,644,009","52,474",13.20,8/15,6.60,1/11,9.35
97,"28,805,136","209,686,234","9,750",9.50,3/06,2.45,11/20,5.82
98,"45,329,429","256,395,366","12,393",8.30,10/23,2.66,1/21,4.67
99,"444,858,619","10,212,949,354","127,523",35.40,12/31,6.60,2/06,17.62
100,"545,920,023","17,767,827,807","190,512",43.30,3/25,14.05,12/09,29.21
101,"146,159,533","2,894,432,595","56,441",24.60,2/29,14.00,11/15,18.15
102,"179,064,246","3,708,447,423","69,048",24.70,10/07,16.55,7/19,19.49
程蔼基,ら戳,程基,ら戳
43.30, 100/3/25,0.50, 90/10/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
