"1468 坞㎝ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"58,123,417","1,397,567,538","14,845",29.70,5/11,17.70,10/20,24.32
89,"76,641,366","1,754,963,942","13,135",30.00,2/11,13.30,11/21,21.43
90,"31,755,689","416,108,371","11,602",17.20,2/16,9.75,10/31,13.39
91,"35,361,215","450,862,349","12,131",14.50,4/25,10.80,8/06,12.61
92,"94,763,023","1,312,160,226","15,896",15.70,2/06,12.05,6/06,13.71
93,"70,188,887","942,014,404","14,533",17.50,3/12,11.60,5/18,13.43
94,"49,085,195","644,277,686","11,676",13.80,1/11,12.30,9/26,13.10
95,"31,896,005","416,116,615","8,464",14.40,5/08,12.30,11/23,13.03
96,"34,703,771","482,010,316","9,286",15.80,10/30,12.35,3/05,13.77
97,"27,360,976","349,745,780","7,407",16.35,3/25,9.88,10/28,12.35
98,"18,639,269","202,409,977","4,930",11.80,11/19,9.84,1/15,10.80
99,"26,928,212","485,577,346","13,210",30.10,4/27,10.15,2/09,15.99
100,"12,408,437","167,606,826","6,490",18.05,1/03,8.90,9/16,12.45
101,"10,855,502","125,556,798","5,740",15.80,2/16,8.70,6/04,10.59
102,"6,528,961","68,358,960","3,921",12.65,1/17,9.34,7/04,10.49
程蔼基,ら戳,程基,ら戳
30.10, 99/4/27,8.70, 101/6/04
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
