"1471  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"25,048,909","210,504,162","7,078",14.50,3/07,3.40,11/21,8.02
90,"33,448,809","175,374,128","7,724",7.15,4/03,2.41,10/31,4.30
91,"56,318,576","491,866,972","11,081",13.45,5/07,3.17,1/07,7.57
92,"173,089,809","2,690,865,580","29,249",22.70,11/05,7.05,1/02,13.91
93,"170,941,010","4,339,561,456","41,348",32.00,2/26,17.60,8/18,22.65
94,"1,005,836,063","36,162,797,138","301,020",49.90,12/30,14.50,2/02,29.53
95,"651,073,826","24,742,348,773","246,964",52.90,1/12,23.50,6/09,34.78
96,"811,935,637","37,407,974,903","289,366",65.70,7/26,21.15,12/21,42.55
97,"349,571,436","7,728,114,484","138,008",33.00,4/22,7.34,11/21,18.92
98,"1,101,527,152","28,077,080,320","350,104",39.35,12/31,7.81,1/20,19.74
99,"605,872,595","18,946,541,418","250,057",42.00,1/19,17.60,11/09,26.99
100,"198,410,081","2,772,730,273","78,668",21.05,3/04,9.40,12/19,14.24
101,"226,168,897","2,800,197,925","77,388",15.90,3/02,8.25,10/30,11.02
102,"265,107,744","2,829,756,580","85,330",12.80,9/03,8.86,2/06,10.18
程蔼基,ら戳,程基,ら戳
65.70, 96/7/26,2.41, 90/10/31
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
