"1473 玭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"16,993,861","705,096,496","8,678",56.50,9/11,34.30,11/07,41.69
90,"158,996,962","7,203,587,353","63,863",62.50,3/15,35.10,11/05,44.71
91,"195,889,295","8,258,133,533","66,643",48.70,6/03,36.00,8/06,40.88
92,"147,874,698","6,414,093,420","44,414",55.00,8/19,37.90,4/28,43.85
93,"56,970,200","2,600,647,582","19,073",51.50,2/23,38.90,11/04,44.31
94,"63,528,040","2,502,678,208","11,706",43.85,6/27,37.00,12/14,40.21
95,"76,185,194","3,312,529,440","30,001",57.50,12/29,36.10,1/24,40.99
96,"122,261,248","6,439,723,548","49,986",59.90,1/12,41.10,12/18,51.03
97,"64,574,484","2,066,460,720","31,347",44.00,1/15,15.90,11/24,30.17
98,"174,917,808","4,242,111,401","61,691",39.20,12/30,16.65,2/02,22.76
99,"378,585,723","15,418,746,494","150,392",51.10,8/23,30.00,2/03,38.94
100,"156,389,973","6,196,571,743","70,838",46.80,1/07,32.60,10/04,38.69
101,"55,982,187","1,852,968,156","30,110",40.60,2/23,27.15,9/20,32.07
102,"215,619,842","7,417,251,029","100,539",40.50,4/26,28.40,12/12,32.98
程蔼基,ら戳,程基,ら戳
62.50, 90/3/15,15.90, 97/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
