"1476 晶翬 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"29,675,772","398,896,430","13,996",16.90,4/20,7.55,11/08,10.50
91,"65,891,100","717,534,039","15,063",13.35,3/26,8.15,1/17,10.39
92,"141,277,029","2,069,535,366","38,365",19.90,7/28,10.00,3/12,12.53
93,"76,499,483","1,228,483,638","19,052",18.60,4/06,13.30,3/23,15.73
94,"31,689,429","529,125,900","10,241",19.75,6/27,15.05,9/19,16.85
95,"64,336,346","1,045,598,891","18,309",19.50,12/26,13.10,8/21,15.23
96,"112,826,521","2,394,926,574","34,443",26.50,7/18,15.80,12/24,20.63
97,"68,567,844","970,598,217","19,282",18.20,4/30,8.00,10/27,13.25
98,"226,294,435","4,018,080,831","66,008",21.80,10/23,9.22,1/16,15.67
99,"442,550,796","15,624,289,772","160,371",48.90,10/08,18.70,5/27,28.34
100,"400,258,001","17,325,846,528","168,617",53.90,7/22,30.70,2/11,42.85
101,"294,764,616","22,265,861,601","168,177",107.00,12/28,45.05,1/02,74.33
102,"420,954,369","93,660,323,930","301,236",390.50,11/25,104.00,1/03,228.26
程蔼基,ら戳,程基,ら戳
390.50, 102/11/25,7.55, 90/11/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
