"1477 籈锭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"93,596,448","6,226,913,735","35,185",91.00,8/12,47.50,1/21,64.87
93,"72,690,794","4,145,771,765","21,641",70.00,2/11,41.90,8/20,54.59
94,"56,075,738","2,364,052,931","20,636",46.80,2/15,38.75,11/09,42.27
95,"90,756,183","4,781,438,500","33,184",70.90,12/29,41.60,1/23,49.74
96,"151,859,497","12,534,567,801","73,531",104.00,7/25,65.60,1/12,81.91
97,"135,649,331","7,168,928,523","73,179",74.80,1/02,20.90,10/28,47.27
98,"131,628,377","6,296,323,233","61,717",62.90,9/22,22.95,1/21,47.03
99,"201,052,981","14,332,263,071","103,301",82.20,7/07,57.00,2/06,70.31
100,"123,221,001","8,792,805,272","68,435",79.20,6/01,63.30,10/05,69.97
101,"163,780,778","13,881,963,789","104,311",91.80,11/02,69.00,1/02,84.31
102,"368,134,016","53,704,153,333","266,458",189.00,7/10,90.50,1/02,140.56
程蔼基,ら戳,程基,ら戳
189.00, 102/7/10,20.90, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
