"1506 タ笵 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"680,279,795","43,493,465,543","255,349",94.50,6/24,30.50,1/17,66.62
81,"322,836,383","23,911,686,428","118,437",95.00,6/23,31.50,12/29,73.14
82,"604,146,923","27,531,099,192","211,704",62.00,4/03,27.70,1/08,43.65
83,"746,586,699","39,358,714,238","221,590",69.00,8/23,35.50,11/02,49.45
84,"460,235,410","13,086,682,711","127,560",43.80,1/05,17.00,8/15,30.26
85,"610,589,334","23,112,734,279","156,653",54.50,12/31,25.00,1/06,36.85
86,"467,635,787","31,386,979,779","94,894",79.00,6/16,51.00,11/03,68.20
87,"852,800,956","42,994,771,630","199,823",99.00,2/19,10.65,12/31,48.76
88,"419,045,320","5,404,356,562","101,154",16.80,4/08,5.65,11/08,10.86
89,"377,837,017","3,386,889,973","61,342",13.20,6/23,2.76,12/28,7.82
90,"96,492,028","355,073,188","18,198",4.50,2/06,2.21,10/31,3.27
91,"360,993,789","2,257,168,590","52,211",8.00,12/11,3.41,1/02,5.77
92,"140,994,262","1,164,053,822","23,224",9.80,1/24,5.90,10/07,7.54
93,"98,181,157","815,947,220","18,839",10.10,2/11,5.75,8/18,7.09
94,"49,559,826","368,624,507","7,196",8.40,11/24,6.00,3/08,7.26
95,"63,746,930","638,883,023","12,307",13.70,12/15,7.52,2/10,9.34
96,"103,955,323","1,670,679,907","17,974",19.90,7/24,11.45,1/22,16.12
97,"57,617,496","968,676,720","9,177",20.45,3/25,12.10,11/11,16.35
98,"44,449,108","635,380,135","10,416",17.20,7/31,12.25,4/20,14.10
99,"381,990,758","6,927,049,072","69,493",30.10,11/19,12.70,3/01,18.00
100,"175,648,901","4,692,734,348","43,617",32.25,5/13,20.50,9/26,25.24
101,"94,812,339","2,431,102,957","21,127",29.10,3/23,17.65,12/07,24.97
102,"300,871,339","5,381,197,422","93,435",23.80,1/10,13.10,7/05,17.59
程蔼基,ら戳,程基,ら戳
99.00, 87/2/19,2.21, 90/10/31
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
