"1514 ㄈ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"88,302,467","4,295,088,334","32,517",60.50,4/02,39.00,12/07,48.00
84,"80,011,763","2,763,657,386","21,177",42.40,1/11,21.40,8/15,34.01
85,"186,727,292","5,991,841,596","52,145",36.40,10/12,26.50,1/06,31.24
86,"364,694,120","11,786,389,297","75,766",43.00,4/16,19.80,10/30,31.58
87,"707,998,704","22,453,441,987","144,694",36.90,5/29,24.20,9/01,30.89
88,"443,207,005","9,949,073,982","80,286",26.90,1/11,17.20,11/26,22.06
89,"405,754,201","7,352,658,996","70,466",24.30,2/15,8.25,11/21,15.72
90,"174,686,649","1,728,980,217","29,684",13.30,2/13,6.35,10/18,9.31
91,"479,027,250","4,605,044,142","70,199",12.35,4/03,6.40,10/08,8.97
92,"247,129,041","1,975,311,087","35,759",10.65,1/23,5.95,5/02,7.37
93,"196,993,855","1,507,544,645","32,419",9.45,3/15,5.85,5/17,6.99
94,"73,268,650","457,194,601","12,212",7.80,1/04,5.03,10/21,6.23
95,"112,026,505","751,896,590","19,438",8.38,12/29,5.07,3/15,6.24
96,"444,303,021","4,748,561,987","83,374",14.60,10/29,7.19,3/05,9.44
97,"181,867,443","1,656,955,531","37,873",12.25,5/22,4.16,11/20,8.14
98,"474,952,375","5,788,550,644","104,112",16.50,12/08,4.31,3/03,7.39
99,"608,034,993","8,155,281,678","171,925",15.90,4/02,9.90,2/09,12.43
100,"183,688,511","1,991,293,516","50,983",13.00,6/09,6.47,12/20,10.08
101,"103,790,345","870,233,090","27,272",9.32,8/23,6.83,1/16,8.34
102,"126,295,075","1,209,863,985","35,026",10.85,12/27,8.41,1/31,9.31
程蔼基,ら戳,程基,ら戳
60.50, 83/4/02,4.16, 97/11/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
