"1516  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"23,848,144","1,066,526,058","11,472",62.00,4/06,25.80,8/16,39.12
85,"189,987,830","6,538,098,753","44,677",41.90,8/08,28.60,9/04,32.96
86,"484,935,159","21,120,824,248","113,836",56.50,12/30,28.60,10/29,41.75
87,"785,218,234","36,783,186,863","206,271",63.00,4/03,28.70,12/19,45.00
88,"532,919,354","12,831,159,810","113,532",32.60,1/05,8.00,11/10,19.82
89,"216,732,804","2,345,251,008","51,634",17.50,2/23,2.48,11/22,8.31
90,"254,092,044","1,332,740,179","48,201",7.25,3/28,2.37,11/28,4.31
91,"280,759,238","1,128,491,267","48,650",5.45,7/22,2.65,10/14,3.61
92,"279,596,663","1,078,508,731","41,478",4.57,11/06,2.59,5/09,3.60
93,"245,094,990","2,052,482,486","52,236",10.80,3/19,5.80,12/08,7.47
94,"40,462,794","194,163,971","10,019",7.05,1/04,3.35,10/20,4.44
95,"105,295,917","561,327,860","22,096",8.26,12/28,2.95,3/20,3.71
96,"245,250,355","2,377,003,703","63,867",14.60,7/12,4.65,12/19,7.95
97,"538,581,510","8,196,049,022","164,833",23.80,11/14,5.01,1/31,10.81
98,"539,258,733","7,305,748,200","165,581",18.00,1/07,10.50,11/04,13.10
99,"597,063,362","7,513,785,133","154,283",17.50,1/19,2.47,11/04,9.64
100,"28,020,212","83,743,670","6,890",7.23,9/07,1.55,7/13,3.51
101,"4,868,393","25,915,239","2,893",12.75,10/03,2.70,9/11,5.69
102,"3,129,504","38,842,858","2,395",14.85,1/14,8.29,1/02,12.13
程蔼基,ら戳,程基,ら戳
63.00, 87/4/03,1.55, 100/7/13
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
