"1521 货 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"15,708,000","772,985,800","6,027",58.00,10/07,40.00,12/01,45.69
87,"175,775,962","10,146,505,625","71,103",75.00,5/25,39.00,12/29,52.13
88,"47,772,615","1,379,407,326","18,762",40.10,1/13,13.25,12/20,26.42
89,"128,801,276","2,862,335,261","44,947",29.90,8/03,11.35,11/21,20.12
90,"77,199,897","1,144,848,352","24,724",19.20,3/27,7.10,10/08,12.17
91,"298,646,864","7,549,430,955","102,882",34.50,7/05,10.25,1/02,22.20
92,"153,423,895","5,135,716,666","61,223",39.30,1/23,26.50,4/28,33.26
93,"45,727,175","1,832,971,062","18,492",48.20,4/15,33.10,1/16,39.87
94,"42,863,505","1,361,034,421","19,375",37.70,1/21,27.00,10/11,32.88
95,"52,966,414","1,362,827,789","21,358",32.50,1/09,20.20,9/15,26.37
96,"67,595,625","1,831,090,347","26,044",31.80,7/24,21.55,12/21,26.01
97,"16,499,906","295,766,530","6,994",24.40,3/25,9.62,10/28,17.53
98,"147,266,736","4,671,128,388","60,642",51.50,12/11,9.21,2/12,23.21
99,"151,254,726","8,919,606,966","81,375",77.50,10/05,36.60,2/03,56.69
100,"148,189,297","9,884,144,546","85,757",85.00,7/07,44.30,12/20,64.67
101,"42,652,677","2,318,551,161","29,203",67.20,2/09,37.90,11/20,52.78
102,"70,945,540","3,955,640,898","44,889",71.50,12/10,42.60,7/26,51.02
程蔼基,ら戳,程基,ら戳
85.00, 100/7/07,7.10, 90/10/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
