"1524 供 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"21,375,555","726,306,302","8,282",42.00,10/31,26.00,12/29,33.12
88,"206,872,841","7,287,856,879","70,149",42.90,5/25,23.00,2/05,32.32
89,"155,489,501","4,651,525,786","50,822",41.90,2/21,7.20,9/20,20.59
90,"143,857,995","1,644,810,079","36,112",15.90,4/10,7.20,10/08,10.20
91,"270,561,002","3,445,811,644","60,022",15.60,6/21,9.30,1/17,11.75
92,"431,452,355","6,553,329,740","100,904",18.50,6/05,10.75,2/14,14.09
93,"260,775,404","4,558,903,004","62,697",21.30,10/05,13.00,1/07,17.28
94,"541,863,108","10,575,841,664","141,104",22.00,8/31,13.75,8/19,18.59
95,"328,354,703","5,811,540,567","97,006",20.20,10/19,12.90,9/14,16.41
96,"182,904,633","3,211,357,421","58,628",19.65,1/03,11.40,12/28,16.35
97,"82,969,080","836,314,848","26,281",12.45,4/17,6.31,10/28,9.48
98,"335,827,323","3,929,454,857","89,031",15.75,12/01,6.82,1/05,9.79
99,"271,702,513","3,399,016,280","68,127",15.10,1/18,9.95,11/09,12.01
100,"75,470,952","709,424,076","21,451",11.40,1/11,6.50,12/19,8.39
101,"88,009,554","601,883,298","25,558",7.90,2/14,5.32,6/04,6.37
102,"357,203,824","3,035,138,015","92,720",9.74,9/25,6.38,1/02,7.82
程蔼基,ら戳,程基,ら戳
42.90, 88/5/25,5.32, 101/6/04
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
