"1527 苝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"100,158,888","5,978,769,940","51,146",123.50,6/21,37.00,11/21,62.29
90,"565,133,640","24,610,948,545","213,279",59.00,2/09,30.20,10/08,43.50
91,"631,556,295","33,693,581,359","210,538",65.00,4/17,43.50,1/17,52.43
92,"280,573,281","17,377,865,562","90,530",74.00,8/28,52.50,1/08,62.41
93,"145,428,267","9,979,901,395","57,400",78.00,2/09,59.00,3/23,68.65
94,"80,198,109","6,067,656,069","36,030",81.70,4/01,68.00,1/20,75.60
95,"271,090,369","12,641,037,548","126,703",78.10,1/12,35.85,9/15,51.41
96,"361,778,091","17,216,718,565","142,518",62.50,7/04,38.20,12/18,45.46
97,"208,000,635","6,062,768,856","98,649",42.70,1/04,11.00,10/29,26.69
98,"149,765,032","4,213,712,877","61,455",35.40,10/19,14.40,2/02,25.74
99,"196,920,660","6,119,570,206","83,225",37.40,1/06,24.50,11/09,29.68
100,"153,640,688","3,481,093,722","67,240",29.30,5/23,13.80,9/13,21.74
101,"72,850,853","1,564,960,078","33,601",25.40,3/27,16.10,11/01,20.68
102,"386,709,217","11,498,380,375","176,855",38.50,8/23,17.40,1/17,26.16
程蔼基,ら戳,程基,ら戳
123.50, 89/6/21,11.00, 97/10/29
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
