"1528 紈 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"37,501,425","741,065,499","11,010",30.90,9/11,14.90,11/21,20.16
90,"260,176,015","4,201,335,202","58,141",23.00,3/27,6.40,10/09,13.34
91,"277,086,454","2,496,595,995","39,930",12.05,4/08,6.10,10/08,8.33
92,"196,541,791","2,154,928,447","37,423",13.50,12/04,6.60,5/02,9.46
93,"210,473,925","2,490,851,470","44,069",15.20,2/12,7.60,7/21,9.70
94,"200,743,523","2,321,014,204","41,671",15.05,7/26,7.75,4/19,9.61
95,"363,657,923","5,249,807,779","77,550",18.15,12/29,11.00,3/08,13.87
96,"499,960,177","10,599,866,167","131,532",28.10,7/18,16.40,12/21,20.79
97,"92,709,957","1,307,362,566","25,302",18.90,2/27,6.50,11/21,13.51
98,"129,818,202","1,186,071,237","28,179",12.10,11/09,5.61,1/21,8.75
99,"403,918,759","6,498,676,099","117,153",19.75,9/20,9.87,2/06,14.86
100,"255,754,987","4,558,701,059","71,759",22.10,5/06,13.30,12/19,16.38
101,"72,200,544","940,999,096","25,126",16.00,3/26,9.60,11/01,12.12
102,"223,507,248","3,357,711,035","60,665",17.65,8/01,10.05,1/10,13.93
程蔼基,ら戳,程基,ら戳
30.90, 89/9/11,5.61, 98/1/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
