"1533 ó筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"73,981,047","3,522,524,955","37,545",63.50,4/16,29.00,9/21,44.47
91,"109,744,477","6,198,612,078","50,337",69.50,5/31,45.80,10/08,54.44
92,"81,181,598","3,673,053,778","38,923",58.00,7/28,32.80,5/15,43.13
93,"21,412,921","674,869,461","12,374",44.90,2/27,16.30,11/02,28.86
94,"59,590,911","1,341,763,614","28,471",28.10,2/18,13.65,10/31,21.27
95,"145,833,672","4,260,147,711","53,359",43.45,12/13,16.60,3/17,27.11
96,"93,946,412","4,275,736,873","45,398",69.90,7/26,24.25,12/18,41.15
97,"31,167,358","696,097,192","15,989",32.30,1/02,7.60,11/24,19.84
98,"165,695,101","3,768,927,418","70,330",32.10,10/14,8.41,1/13,18.17
99,"85,390,753","2,292,326,392","41,556",31.95,1/07,20.50,5/26,24.41
100,"151,376,481","4,124,859,919","76,108",33.15,5/27,13.85,12/20,22.48
101,"24,683,512","456,072,965","12,699",22.80,2/16,15.10,10/29,17.48
102,"466,048,097","16,919,977,324","247,851",46.95,12/17,16.00,5/17,24.43
程蔼基,ら戳,程基,ら戳
69.90, 96/7/26,7.60, 97/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
