"1538 タ畃穝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"136,965,127","2,919,261,045","30,056",28.40,8/27,15.00,11/06,21.19
92,"480,400,956","20,552,958,269","109,305",67.00,11/21,25.20,1/02,44.62
93,"232,241,030","12,863,274,149","72,076",79.50,4/13,31.40,12/06,57.16
94,"171,269,234","6,653,934,798","57,651",44.60,9/06,32.30,6/24,38.12
95,"294,800,622","12,688,739,938","98,531",51.00,6/14,30.20,11/10,41.17
96,"388,328,036","11,413,261,480","140,133",42.95,1/10,14.45,11/12,28.12
97,"502,340,224","11,807,503,863","135,586",29.65,6/10,16.50,1/23,23.11
98,"533,513,475","13,493,464,678","167,781",38.95,12/30,17.65,6/16,24.52
99,"319,262,632","12,147,608,912","135,689",47.30,1/20,24.85,11/09,36.57
100,"489,887,878","19,596,262,467","204,413",58.00,4/08,15.45,12/21,36.02
101,"197,144,781","3,103,660,291","83,601",24.60,2/10,7.20,11/07,13.31
102,"121,762,057","1,613,716,731","51,652",19.30,3/15,8.50,11/11,12.52
程蔼基,ら戳,程基,ら戳
79.50, 93/4/13,7.20, 101/11/07
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
