"1603 地筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"756,540,785","32,027,884,008","261,202",53.00,4/09,27.50,1/16,41.66
81,"480,111,118","25,839,707,157","175,267",64.50,8/25,41.40,12/29,52.42
82,"418,985,012","19,169,467,651","121,024",55.00,4/07,34.80,9/07,44.72
83,"608,262,253","29,510,689,331","169,223",58.50,4/08,30.40,11/02,48.00
84,"325,364,231","7,764,868,818","82,221",34.80,1/05,14.90,8/15,23.69
85,"422,534,881","10,753,380,756","91,377",30.50,11/02,19.00,1/06,24.49
86,"882,000,303","34,537,504,314","150,578",49.60,4/16,26.80,1/04,37.13
87,"1,609,321,040","74,866,944,946","290,504",68.00,4/16,12.20,12/31,37.58
88,"413,749,572","5,591,595,230","89,092",17.40,4/07,7.40,8/09,11.73
89,"267,629,197","3,009,728,069","58,982",17.00,2/22,2.44,11/24,8.29
90,"125,207,870","550,524,204","24,375",7.50,2/16,2.09,7/25,3.62
91,"274,939,611","1,544,266,241","43,665",7.50,3/28,3.22,1/28,5.14
92,"393,103,873","2,191,537,237","52,583",7.20,1/27,3.58,4/30,4.93
93,"426,820,760","3,534,507,097","63,390",10.80,3/15,4.80,8/19,6.86
94,"80,238,371","375,514,382","16,885",6.90,1/04,3.56,8/30,4.50
95,"252,318,062","1,432,426,613","42,785",7.65,12/27,3.85,1/24,5.06
96,"378,867,383","3,177,836,992","66,293",11.20,7/19,5.31,12/21,7.61
97,"623,181,971","6,151,263,615","126,459",14.30,5/23,4.82,10/28,7.95
98,"843,809,426","7,799,390,581","154,503",14.45,12/31,4.74,3/03,7.89
99,"516,546,368","6,298,594,551","113,667",14.65,1/04,9.28,5/26,11.60
100,"202,551,677","2,364,214,594","47,312",13.95,1/25,7.13,12/20,10.24
101,"158,652,315","1,552,631,560","38,432",12.35,9/25,7.00,1/17,9.00
102,"196,302,054","2,421,241,364","46,289",14.35,10/29,10.65,1/17,12.39
程蔼基,ら戳,程基,ら戳
68.00, 87/4/16,2.09, 90/7/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
