"1605 地穝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,975,221,030","91,211,860,537","608,901",61.00,5/10,23.10,1/17,44.99
81,"728,074,222","28,265,492,496","218,013",48.70,1/21,23.50,12/29,36.07
82,"1,460,993,936","39,628,607,887","291,148",34.50,4/07,19.00,9/16,25.33
83,"3,859,960,426","132,214,510,822","697,436",44.30,12/24,27.70,10/11,32.21
84,"4,093,760,566","157,705,027,807","791,676",48.50,4/10,25.50,11/24,36.18
85,"2,296,455,455","56,488,607,590","439,629",29.50,7/02,21.00,9/04,23.81
86,"5,913,811,137","162,413,410,649","1,068,062",36.50,7/15,17.70,10/29,25.12
87,"2,831,744,771","55,034,762,086","480,064",24.30,2/27,13.90,9/01,18.39
88,"6,004,923,487","94,603,327,882","882,208",19.60,12/28,11.00,2/05,14.60
89,"12,761,216,091","315,334,232,233","2,170,554",32.20,2/24,11.80,11/21,22.18
90,"4,463,909,291","50,866,349,803","593,083",17.20,2/02,6.05,10/08,10.85
91,"4,619,306,922","43,969,607,442","485,284",12.40,4/25,6.60,10/11,8.92
92,"5,663,753,733","57,373,675,405","574,501",12.60,1/28,7.05,5/02,9.46
93,"6,503,754,460","103,905,062,884","771,940",19.90,4/13,10.60,1/02,15.92
94,"1,889,266,384","24,752,452,894","293,709",17.70,1/03,8.73,10/20,12.49
95,"4,201,593,911","62,411,278,641","599,405",18.60,10/16,10.00,3/22,13.70
96,"4,104,561,330","69,975,244,446","668,681",19.80,6/26,11.60,12/18,16.53
97,"2,647,848,291","32,163,966,137","474,684",17.00,4/15,5.11,11/21,11.38
98,"4,919,393,033","49,030,363,724","778,278",12.20,12/28,5.00,3/03,9.56
99,"6,297,824,342","99,697,421,232","1,062,177",19.90,10/11,9.51,2/06,14.45
100,"3,449,063,718","47,482,248,464","708,164",18.90,1/14,7.80,12/20,13.15
101,"2,280,303,621","21,571,663,798","558,429",11.60,2/29,7.18,6/04,9.20
102,"2,596,396,117","23,958,903,647","590,547",10.55,5/22,8.16,6/25,9.12
程蔼基,ら戳,程基,ら戳
61.00, 80/5/10,5.00, 98/3/03
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
