"1609 ㄈ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"785,980,361","31,153,449,122","299,250",49.40,5/07,21.30,1/17,38.30
81,"414,917,908","13,665,971,288","129,876",40.50,1/25,21.70,12/29,31.41
82,"1,317,947,430","42,123,914,140","237,007",43.60,12/27,19.60,1/07,30.40
83,"920,968,826","31,976,973,456","211,968",44.00,1/10,26.70,12/01,33.92
84,"654,702,319","14,234,402,003","153,544",29.20,1/05,15.00,8/15,21.16
85,"958,616,449","18,829,654,322","188,198",22.30,3/16,16.90,7/25,19.04
86,"1,178,641,843","25,779,765,215","224,719",27.20,4/15,15.30,10/30,20.17
87,"763,117,882","12,198,814,813","134,912",20.00,4/09,10.05,12/31,14.87
88,"1,251,273,381","15,371,492,485","214,328",16.10,10/16,7.30,8/07,10.35
89,"951,339,655","11,442,645,055","162,814",16.00,2/18,4.82,11/23,9.33
90,"245,020,348","1,274,162,364","40,304",7.20,2/20,3.00,9/24,4.49
91,"1,862,177,435","20,186,175,250","245,682",14.30,4/22,3.89,1/24,9.41
92,"1,070,889,344","12,072,813,834","168,035",15.20,1/27,8.10,10/01,10.00
93,"1,524,840,433","21,901,810,062","226,003",19.20,3/05,9.30,8/18,12.60
94,"308,786,741","2,976,851,451","62,208",12.55,1/04,6.43,10/20,9.33
95,"1,579,670,122","19,807,930,011","268,901",16.85,12/27,7.70,3/24,10.12
96,"1,515,286,329","20,803,592,770","326,300",16.50,1/02,8.00,12/21,12.57
97,"473,556,034","4,151,384,807","102,740",11.60,5/22,4.61,11/21,8.02
98,"605,645,320","4,282,888,310","117,327",8.74,12/31,4.72,3/03,6.52
99,"888,942,758","7,990,282,741","176,171",10.60,4/19,6.91,2/06,8.59
100,"394,185,624","3,457,144,029","92,211",9.78,5/17,7.30,11/24,8.54
101,"210,214,337","1,640,402,677","58,211",9.19,2/23,6.61,10/31,7.51
102,"176,276,666","1,246,883,100","49,198",7.65,12/27,6.53,9/23,6.98
程蔼基,ら戳,程基,ら戳
49.40, 80/5/07,3.00, 90/9/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
