"1612 Щ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
82,"60,240,648","3,726,149,368","22,500",72.50,12/28,43.80,5/08,59.66
83,"159,225,601","7,475,546,976","53,420",68.00,1/11,31.30,11/24,49.49
84,"212,812,083","5,630,379,703","57,165",36.60,1/10,15.90,8/15,26.30
85,"384,406,436","10,386,300,378","80,508",32.00,12/31,19.60,1/30,26.33
86,"644,491,672","24,450,548,632","154,895",47.80,5/02,26.10,10/29,36.29
87,"414,341,538","12,828,369,722","109,790",39.30,4/04,19.30,9/01,27.81
88,"293,011,676","5,108,205,824","70,799",22.50,5/04,12.40,11/08,16.69
89,"641,456,939","13,319,599,471","152,754",28.30,3/14,8.55,11/24,16.62
90,"187,522,149","1,677,105,985","39,288",12.80,2/06,4.00,9/26,7.68
91,"339,720,081","2,646,046,578","58,912",10.00,12/19,5.05,3/01,7.18
92,"612,624,843","6,035,236,639","102,383",12.45,1/23,8.00,10/01,9.27
93,"614,297,461","6,573,237,596","95,957",12.80,3/15,8.50,8/18,10.09
94,"315,523,703","3,146,345,174","56,669",11.45,12/28,8.50,4/21,9.68
95,"760,135,285","10,553,325,999","138,734",18.40,12/27,10.80,2/03,12.96
96,"1,467,283,733","40,060,135,789","403,495",39.60,8/30,15.80,1/11,26.22
97,"465,131,261","9,165,468,213","148,224",26.90,5/23,8.31,10/28,18.01
98,"443,813,602","5,153,811,239","110,992",14.95,10/26,7.23,2/02,11.15
99,"530,458,450","8,051,415,252","140,272",18.50,8/25,11.65,2/06,14.25
100,"146,099,023","1,847,584,218","52,846",15.60,1/04,8.13,12/20,11.97
101,"125,866,606","1,289,915,073","40,969",11.85,2/16,8.71,1/09,9.87
102,"141,160,103","1,411,426,834","39,427",11.45,2/20,9.24,8/09,9.81
程蔼基,ら戳,程基,ら戳
72.50, 82/12/28,4.00, 90/9/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
