"1614 瑅筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"7,357,848","187,038,117","2,658",29.80,9/19,22.40,11/19,25.30
87,"57,515,188","1,567,227,505","19,181",33.30,3/24,16.90,12/31,24.53
88,"24,017,239","386,143,990","7,424",18.90,5/06,11.70,12/27,15.16
89,"53,481,034","743,512,997","13,813",19.40,2/22,9.65,12/28,12.65
90,"18,999,294","196,368,424","5,216",12.05,2/20,8.00,9/24,9.79
91,"126,769,486","1,617,350,043","30,178",15.60,4/25,8.85,1/03,11.92
92,"251,505,674","4,071,754,292","51,208",19.20,8/22,11.80,4/28,14.63
93,"187,111,866","3,759,485,047","41,174",23.40,3/11,16.40,11/02,18.63
94,"42,898,680","728,488,861","13,303",18.75,6/27,15.15,7/21,16.73
95,"112,015,993","2,685,125,112","33,853",33.00,5/11,16.60,1/24,22.22
96,"158,020,904","5,036,052,797","48,822",43.10,7/18,21.40,3/14,28.08
97,"114,056,375","3,956,872,517","38,618",44.80,3/31,15.70,11/26,29.43
98,"215,735,763","6,047,553,387","67,399",38.40,10/12,15.70,3/09,27.75
99,"136,727,969","4,674,629,803","53,171",40.80,12/06,27.90,2/06,32.34
100,"45,722,344","1,446,729,177","22,083",38.50,1/04,25.75,10/05,31.37
101,"50,623,131","1,528,873,457","24,301",35.00,2/14,25.40,7/25,29.18
102,"110,368,928","3,939,482,283","38,948",44.10,12/31,29.50,1/02,34.38
程蔼基,ら戳,程基,ら戳
44.80, 97/3/31,8.00, 90/9/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
