"1615  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"13,897,010","187,836,678","5,863",23.50,4/01,5.00,12/28,9.79
90,"9,588,960","54,908,672","3,840",8.10,3/02,3.41,9/21,5.31
91,"12,692,979","94,006,494","3,821",10.20,4/08,4.77,1/02,7.24
92,"19,733,837","198,130,205","5,774",14.30,12/30,7.00,1/03,9.04
93,"27,214,298","425,328,911","7,731",18.10,3/18,12.10,11/01,14.37
94,"29,459,157","267,347,237","6,629",13.30,1/03,5.36,12/13,8.55
95,"46,133,331","417,216,688","12,556",13.55,12/19,4.87,3/28,7.18
96,"74,961,368","1,095,972,648","24,611",17.90,4/13,9.73,12/21,13.82
97,"39,555,707","530,212,148","13,765",19.40,5/22,7.20,11/24,12.21
98,"46,881,449","486,386,270","14,573",14.10,11/17,7.20,2/03,9.24
99,"71,385,678","1,217,175,692","26,150",21.75,5/06,11.25,2/06,15.50
100,"41,334,101","651,231,803","18,962",19.25,6/08,10.60,12/29,13.99
101,"11,856,797","139,239,989","5,846",13.30,2/21,10.15,11/27,11.29
102,"6,172,787","64,933,996","3,481",11.80,1/11,9.67,12/02,10.55
程蔼基,ら戳,程基,ら戳
23.50, 89/4/01,3.41, 90/9/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
