"1701 いて Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"452,975,621","26,884,376,962","186,020",82.50,4/29,35.60,1/17,58.86
81,"571,802,643","34,092,859,716","212,319",90.00,2/22,31.50,12/29,51.44
82,"689,894,786","25,755,401,270","200,070",50.50,4/07,27.50,1/08,36.75
83,"1,141,931,705","42,322,464,273","277,452",45.00,8/02,28.50,3/22,34.58
84,"961,655,155","27,100,549,625","213,626",40.70,1/05,16.50,8/15,27.75
85,"783,792,449","19,927,730,028","169,076",29.40,10/12,21.30,2/06,24.73
86,"1,321,504,747","69,611,335,322","355,338",74.00,11/26,27.20,1/04,50.61
87,"789,499,931","30,400,409,290","245,634",62.00,1/05,19.00,12/31,37.05
88,"573,130,111","10,792,237,671","136,284",23.80,5/10,10.30,11/08,16.24
89,"1,007,101,219","16,247,745,247","224,774",20.70,5/30,6.85,11/22,13.09
90,"524,656,863","4,673,757,304","116,153",13.10,3/16,5.60,7/19,8.05
91,"590,229,768","5,601,594,549","101,597",12.20,4/26,6.45,9/25,8.55
92,"880,622,022","8,033,755,828","149,191",11.30,12/25,7.35,3/11,8.81
93,"1,099,963,854","14,695,867,147","181,476",16.20,3/08,9.60,8/18,12.63
94,"922,453,286","11,515,949,301","190,327",15.40,1/03,7.93,9/28,11.99
95,"959,792,161","10,915,380,345","183,314",13.50,5/25,8.95,9/15,10.71
96,"1,780,012,517","34,604,310,778","436,775",32.25,7/26,10.50,3/05,17.00
97,"994,308,795","17,269,746,644","305,241",24.30,4/18,9.21,9/18,15.79
98,"1,984,040,309","43,134,306,061","587,987",26.80,8/27,11.30,3/03,20.16
99,"1,399,943,982","36,518,465,271","495,872",33.75,12/01,16.10,2/06,23.73
100,"472,777,696","11,454,015,869","194,038",29.40,1/05,15.20,12/20,22.51
101,"478,554,010","9,692,480,025","192,722",24.70,3/05,16.15,6/04,19.47
102,"629,705,327","14,038,700,977","241,720",25.75,10/31,19.55,1/17,21.69
程蔼基,ら戳,程基,ら戳
90.00, 81/2/22,5.60, 90/7/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
