"1712 砍笰 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"545,405,212","27,105,008,683","202,156",64.00,2/28,25.40,1/17,48.42
81,"403,054,715","23,750,975,405","152,687",78.00,1/30,42.00,7/29,56.97
82,"478,881,375","21,878,982,304","126,477",63.50,12/31,30.10,9/16,40.36
83,"1,134,203,259","64,467,943,089","254,020",85.00,1/19,33.90,10/11,51.14
84,"389,130,267","9,946,711,791","96,847",39.30,1/06,18.00,8/15,27.54
85,"499,667,373","11,126,125,754","114,533",26.70,4/29,18.60,9/10,21.61
86,"634,673,409","13,734,011,578","147,880",27.00,3/12,15.50,12/01,20.32
87,"809,987,169","15,282,002,842","158,600",25.10,4/07,10.20,12/23,17.70
88,"413,575,174","4,179,614,208","78,505",12.70,5/06,4.95,12/22,8.73
89,"548,682,977","3,741,022,583","89,652",10.35,2/22,3.51,9/20,6.14
90,"656,578,673","3,696,932,045","111,839",8.50,4/24,3.60,10/09,5.10
91,"1,110,359,259","7,046,772,997","140,764",8.25,4/25,3.80,9/30,5.50
92,"1,244,556,340","8,602,704,834","159,529",8.80,11/06,4.50,5/02,6.75
93,"1,075,700,648","10,328,692,325","134,297",12.75,3/02,6.30,8/18,8.58
94,"369,086,862","2,656,913,965","56,539",8.55,1/03,4.90,10/20,6.61
95,"701,181,395","5,679,044,272","110,367",11.55,12/20,5.01,3/22,6.50
96,"1,500,964,573","17,517,760,701","252,434",15.00,7/19,7.75,12/18,10.82
97,"2,585,521,470","38,420,084,381","587,004",22.70,5/22,7.57,10/28,12.16
98,"1,934,456,907","27,010,765,510","422,803",18.10,6/02,8.00,1/21,13.07
99,"1,029,712,247","14,932,833,288","259,408",16.15,8/13,11.90,2/06,13.90
100,"402,365,808","5,419,550,044","107,803",15.10,1/17,10.00,9/29,12.97
101,"341,152,586","4,644,796,749","100,180",15.00,12/18,11.80,1/17,13.31
102,"426,887,881","6,728,726,175","132,314",18.10,11/29,13.90,1/28,15.23
程蔼基,ら戳,程基,ら戳
85.00, 83/1/19,3.51, 89/9/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
