"1721  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"48,178,959","1,588,372,450","19,007",43.50,12/17,26.30,6/10,33.83
86,"108,495,247","6,594,336,444","29,802",72.00,9/25,42.00,1/04,59.53
87,"396,453,880","16,796,296,344","112,179",95.00,7/27,11.50,12/31,48.36
88,"140,526,534","1,901,946,875","38,555",18.40,4/08,4.96,11/05,10.81
89,"120,611,601","1,187,241,486","27,389",16.30,2/22,2.77,11/21,7.00
90,"26,507,113","90,007,242","7,765",5.00,2/12,2.10,12/05,3.09
91,"155,939,107","1,057,265,356","30,286",9.40,7/10,2.79,1/03,5.62
92,"77,178,315","416,262,634","15,334",7.60,2/06,3.90,12/31,4.93
93,"188,038,400","1,421,318,656","29,736",9.95,3/15,4.00,1/02,7.19
94,"38,819,135","242,491,228","9,473",7.45,1/07,4.20,12/13,5.85
95,"89,942,212","599,282,898","18,840",8.75,12/29,4.50,2/22,5.80
96,"577,729,556","8,678,102,954","154,217",27.80,7/19,6.07,1/12,11.75
97,"279,269,590","3,362,416,876","95,092",17.50,4/25,5.31,10/13,10.08
98,"284,351,440","2,100,801,617","76,480",14.65,12/24,4.84,3/03,6.78
99,"188,514,836","2,954,253,410","70,605",20.50,1/19,10.10,11/17,14.39
100,"56,493,306","598,482,790","23,060",12.90,5/18,6.51,12/20,9.59
101,"42,204,293","338,765,756","16,173",9.79,2/16,6.41,1/16,7.51
102,"42,570,027","362,051,375","16,115",10.20,10/25,7.35,7/09,8.24
程蔼基,ら戳,程基,ら戳
95.00, 87/7/27,2.10, 90/12/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
