"1725 じ赫 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"6,396,155","166,385,929","1,603",28.00,10/06,24.20,11/23,26.10
90,"10,463,295","252,014,961","3,532",27.20,1/02,21.80,7/25,24.20
91,"9,723,939","214,136,279","3,631",25.80,4/25,19.50,9/19,22.19
92,"6,288,978","142,948,044","3,552",26.00,8/05,21.10,12/26,22.82
93,"12,432,317","243,448,904","4,256",26.20,3/11,17.40,11/03,20.40
94,"6,679,349","122,302,257","3,034",21.00,8/16,16.45,10/06,17.89
95,"4,910,839","86,598,982","3,232",19.70,12/26,15.50,9/01,17.50
96,"14,717,327","424,726,859","8,098",35.20,7/26,19.05,12/20,25.22
97,"9,803,076","216,125,441","5,685",32.75,5/22,12.10,10/27,20.09
98,"7,665,515","134,788,878","5,251",21.45,5/26,15.40,3/03,17.45
99,"17,056,045","440,509,949","10,981",34.40,8/18,16.05,2/09,22.94
100,"6,507,370","136,260,057","4,518",24.90,1/14,15.50,11/24,20.26
101,"8,163,174","125,462,829","5,119",18.30,2/20,13.00,6/04,15.26
102,"5,090,164","71,330,637","3,613",15.95,11/27,12.70,7/05,14.06
程蔼基,ら戳,程基,ら戳
35.20, 96/7/26,12.10, 97/10/27
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
