"1726 ッ癘 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"11,217,146","345,014,886","5,428",41.00,9/15,20.20,12/30,29.40
90,"71,738,640","2,062,184,541","29,425",33.50,12/18,21.00,1/02,27.89
91,"117,409,358","4,588,642,632","44,339",47.80,6/14,31.10,1/17,38.59
92,"29,662,034","1,164,764,152","12,468",45.50,1/23,33.80,4/28,38.48
93,"33,109,627","1,366,490,230","15,459",45.40,3/15,36.10,5/17,40.24
94,"23,183,733","936,189,153","10,839",45.80,2/01,34.65,10/24,40.05
95,"70,916,537","3,339,109,247","29,010",64.40,10/12,37.00,3/24,45.30
96,"56,036,222","3,181,126,976","28,565",70.00,4/16,39.50,12/18,54.85
97,"47,689,474","2,068,853,756","24,859",57.30,4/18,26.70,10/27,39.12
98,"22,570,127","854,592,222","12,857",45.20,12/28,28.50,1/21,37.16
99,"22,959,392","1,033,483,434","13,163",50.50,4/16,40.40,2/06,44.54
100,"45,193,988","2,114,925,693","25,011",54.00,5/11,39.50,10/04,44.83
101,"47,964,899","2,613,164,686","28,749",66.00,8/27,42.40,1/09,51.87
102,"52,735,863","3,867,810,578","37,428",85.00,5/16,58.00,1/17,71.88
程蔼基,ら戳,程基,ら戳
85.00, 102/5/16,20.20, 89/12/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
