"1731 地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"42,536,830","535,982,316","13,210",13.95,12/12,10.45,9/19,12.27
91,"245,825,367","4,065,930,286","72,242",21.00,4/30,12.10,1/17,15.71
92,"78,438,971","1,193,059,920","26,352",17.80,1/16,13.20,9/10,14.77
93,"67,525,399","917,351,678","20,013",16.50,4/08,9.60,11/30,12.55
94,"136,265,684","1,703,093,608","37,791",15.10,3/07,10.35,12/30,11.85
95,"55,703,287","569,658,454","17,752",12.40,12/26,8.25,9/19,9.77
96,"659,454,960","13,356,621,621","195,543",31.05,7/26,9.54,3/06,16.99
97,"249,655,126","3,901,270,275","92,043",21.20,5/15,8.47,9/18,14.11
98,"376,847,363","7,006,105,177","130,790",23.50,7/28,11.90,3/03,17.23
99,"345,544,155","6,155,386,392","120,758",21.00,4/02,12.60,2/08,16.80
100,"131,152,768","2,066,238,222","44,623",18.10,3/09,10.10,12/19,14.77
101,"232,616,159","3,462,202,429","88,404",17.80,10/23,11.00,1/13,13.56
102,"192,756,607","3,098,395,885","74,762",18.25,6/24,14.25,8/28,15.57
程蔼基,ら戳,程基,ら戳
31.05, 96/7/26,8.25, 95/9/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
