"1805 腳眛 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"462,866,954","26,464,065,034","190,432",77.00,4/09,33.40,1/17,53.45
81,"356,694,855","17,405,141,473","128,027",61.00,2/10,31.60,12/04,46.10
82,"522,044,038","23,064,820,632","141,531",52.50,11/18,30.70,1/06,42.89
83,"1,661,100,663","126,073,577,671","276,673",105.50,12/31,48.00,1/14,74.90
84,"2,182,906,210","97,325,463,927","369,487",107.00,1/05,15.70,8/15,51.06
85,"2,353,759,758","57,787,827,724","464,823",36.30,1/11,18.10,9/18,22.27
86,"2,123,353,861","49,328,007,290","418,989",29.80,1/21,16.00,10/28,20.60
87,"930,371,937","14,628,289,227","150,075",20.70,2/24,7.20,12/30,15.74
88,"2,022,851,679","22,518,864,441","170,705",16.70,5/18,3.00,12/20,8.61
89,"1,105,787,735","5,057,016,609","82,692",7.15,2/14,1.55,12/06,3.96
90,"743,326,590","1,476,323,776","57,753",3.92,12/19,0.91,10/15,2.01
91,"681,574,905","2,577,199,601","94,613",5.05,2/22,2.10,10/14,3.23
92,"203,908,630","436,566,214","23,733",3.61,1/24,0.54,9/19,1.54
93,"92,482,602","139,405,404","7,088",2.52,2/24,0.76,9/22,1.29
94,"81,397,122","116,739,724","5,656",1.96,1/24,0.90,12/26,1.32
95,"132,141,927","251,750,349","10,394",21.65,12/26,0.88,4/24,1.76
96,"8,607,812","100,335,317","6,084",17.40,1/02,8.38,11/21,11.13
97,"3,749,744","28,972,987","1,423",10.20,1/21,2.93,12/11,7.83
98,"6,122,489","31,985,883","2,462",8.50,10/16,3.22,7/14,5.47
99,"7,555,478","57,447,852","2,969",13.40,9/24,4.74,6/14,7.95
100,"3,463,697","54,277,176","2,062",18.10,9/09,10.60,6/27,15.30
101,"9,830,047","153,474,123","4,706",19.80,4/30,12.50,12/22,15.54
102,"65,903,754","989,725,033","26,676",18.30,5/24,11.20,2/05,14.53
程蔼基,ら戳,程基,ら戳
107.00, 84/1/05,0.54, 92/9/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
