"1904 タ订 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"2,229,769,518","67,226,236,250","570,818",38.70,7/29,15.10,1/17,28.22
81,"667,691,589","17,109,921,001","161,038",31.00,2/24,15.50,12/29,23.53
82,"1,783,105,532","38,547,022,635","298,201",33.50,12/31,13.95,1/08,18.82
83,"3,652,107,595","140,754,547,807","661,776",47.70,12/22,27.00,1/14,37.75
84,"1,646,431,496","49,392,031,023","316,038",46.90,1/05,18.60,11/15,30.41
85,"1,369,631,706","28,119,905,966","237,687",23.70,4/15,18.00,5/20,19.98
86,"1,798,447,396","37,532,060,973","299,898",25.70,3/20,15.20,10/28,19.01
87,"891,104,747","12,440,020,069","145,644",17.70,4/09,10.10,9/01,13.66
88,"2,837,582,636","43,832,815,760","384,839",21.80,5/05,10.20,1/06,13.81
89,"1,552,205,827","20,905,727,794","248,344",18.50,2/21,6.05,11/21,11.46
90,"427,513,565","2,738,627,728","76,810",9.20,2/05,3.80,10/18,5.84
91,"2,329,910,031","18,215,793,481","295,979",10.20,12/20,4.35,1/02,7.33
92,"3,353,612,598","36,401,649,312","460,751",14.40,1/21,7.50,4/28,10.31
93,"2,957,098,459","39,553,955,118","420,408",16.30,3/10,9.95,8/09,12.48
94,"680,240,338","7,282,739,290","127,259",13.30,1/03,7.50,11/08,9.79
95,"1,658,298,675","19,104,410,646","289,812",14.20,12/05,7.74,1/24,10.72
96,"1,605,187,584","21,551,577,689","292,683",16.40,7/19,9.95,12/21,12.78
97,"931,617,252","10,227,528,528","192,321",13.55,5/21,5.51,10/28,9.87
98,"1,536,484,593","16,331,803,085","307,412",13.65,12/09,5.51,3/03,9.60
99,"1,035,348,203","13,427,136,889","228,299",14.40,11/10,10.70,2/06,12.70
100,"527,115,329","7,023,722,416","149,062",14.90,1/04,9.99,12/19,12.92
101,"254,922,295","2,994,652,674","86,675",12.50,2/20,10.50,7/25,11.62
102,"204,962,058","2,743,924,218","93,773",14.80,12/02,12.20,2/01,13.34
程蔼基,ら戳,程基,ら戳
47.70, 83/12/22,3.80, 90/10/18
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
