"1905 地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"866,142,039","25,939,507,454","243,393",37.50,4/12,21.10,1/17,29.01
81,"530,378,547","15,034,218,445","114,386",37.50,1/21,14.20,12/29,26.69
82,"1,435,238,097","27,138,175,310","239,477",31.50,12/31,12.90,9/16,16.24
83,"4,594,756,042","179,195,536,195","784,434",55.00,7/30,24.50,3/19,39.54
84,"2,297,880,257","101,918,635,741","459,110",71.00,2/16,24.60,11/10,42.51
85,"1,585,928,188","42,272,749,362","284,659",31.50,5/04,21.00,3/12,25.83
86,"1,807,189,377","46,945,645,383","317,141",32.00,4/19,16.00,12/01,23.89
87,"2,151,688,523","39,300,843,337","334,300",24.50,7/07,10.20,9/02,17.57
88,"3,345,434,102","74,676,095,282","535,708",29.20,5/11,10.35,2/05,20.63
89,"2,506,176,477","66,975,588,773","481,752",39.90,2/21,10.20,11/21,23.26
90,"731,001,666","7,851,031,926","132,446",14.75,1/29,5.80,9/26,9.03
91,"2,514,347,682","28,103,882,429","350,917",14.85,6/24,6.70,1/02,10.22
92,"3,629,962,125","59,750,507,068","552,110",21.60,1/23,11.85,5/22,15.86
93,"2,441,620,956","46,697,345,891","374,599",26.60,3/09,13.25,8/03,17.42
94,"1,247,397,663","15,703,242,878","204,280",17.00,1/03,10.40,5/12,12.52
95,"1,547,762,841","23,555,976,043","261,542",19.10,12/05,11.35,3/30,14.46
96,"1,723,217,906","31,840,304,150","339,217",27.15,10/16,14.25,3/27,18.19
97,"1,560,517,007","28,269,415,195","333,008",27.00,5/23,7.25,10/28,16.97
98,"1,815,159,769","21,912,343,140","324,184",16.90,12/07,7.70,2/11,11.74
99,"1,751,508,469","27,638,626,937","341,497",18.15,10/26,12.60,6/07,15.25
100,"956,494,082","13,940,301,466","226,074",17.15,4/08,8.37,12/19,13.49
101,"443,045,496","4,683,790,113","112,636",12.70,2/29,8.80,6/04,9.94
102,"286,619,661","2,780,804,643","81,495",10.65,2/21,9.01,6/21,9.59
程蔼基,ら戳,程基,ら戳
71.00, 84/2/16,5.80, 90/9/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
