"1909 篴Θ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,362,037,189","45,115,046,579","410,764",44.00,7/05,16.00,1/17,31.29
81,"682,324,421","17,670,197,564","169,488",31.90,1/21,16.00,12/29,24.31
82,"788,051,133","16,429,474,421","145,906",28.30,12/31,14.90,9/07,19.12
83,"1,490,862,687","51,207,824,359","284,776",42.50,12/27,23.40,1/14,33.22
84,"488,773,437","12,830,140,402","102,032",41.00,1/06,15.70,8/14,27.54
85,"500,575,497","9,194,689,421","92,629",20.50,6/07,16.00,3/12,17.95
86,"884,405,727","17,887,934,634","165,078",27.90,4/17,13.25,10/28,18.43
87,"578,463,130","7,760,423,108","102,319",18.20,4/09,8.10,12/29,13.09
88,"1,208,391,112","15,940,023,381","165,696",17.50,5/18,7.00,2/06,11.59
89,"518,265,606","4,910,729,563","84,397",13.80,2/21,4.50,12/22,8.04
90,"418,609,603","2,331,501,804","57,520",7.60,4/10,3.00,12/03,4.62
91,"882,580,027","4,723,567,102","103,572",6.55,4/25,3.51,1/02,4.95
92,"1,849,273,667","12,729,543,151","226,228",9.35,1/23,4.35,5/02,6.28
93,"2,137,823,567","24,283,872,046","314,574",13.90,3/15,8.70,8/18,10.77
94,"392,350,458","3,513,753,925","70,928",11.30,1/03,6.67,10/20,8.31
95,"1,479,705,724","18,439,985,827","251,329",17.05,12/26,7.06,1/23,10.17
96,"1,060,421,244","16,839,203,774","224,531",18.20,7/19,9.86,12/21,14.77
97,"343,715,393","3,922,251,259","87,662",14.40,4/17,5.56,10/27,9.96
98,"576,693,826","5,888,826,588","119,466",13.00,9/17,5.61,3/03,8.71
99,"1,023,643,212","11,763,921,340","193,030",13.50,10/27,9.00,2/06,10.80
100,"319,881,521","3,644,708,235","79,226",13.65,1/03,8.10,12/19,10.56
101,"118,343,885","1,009,198,152","37,695",10.05,3/02,7.40,10/29,8.24
102,"649,242,473","7,776,572,408","153,968",15.30,12/13,8.03,1/28,10.57
程蔼基,ら戳,程基,ら戳
44.00, 80/7/05,3.00, 90/12/03
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
