"2002 い葵 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,882,444,554","61,504,597,084","525,496",43.30,4/09,22.00,1/17,31.19
81,"1,412,034,530","29,795,365,264","320,416",28.70,1/29,14.75,12/28,20.94
82,"7,818,748,844","164,341,695,619","934,572",28.30,12/31,13.90,1/29,19.06
83,"13,450,123,951","370,710,775,263","1,692,368",34.60,12/27,21.00,4/01,25.94
84,"8,208,257,710","213,738,409,999","1,123,582",33.50,1/06,17.90,11/24,23.67
85,"8,438,171,639","219,647,178,758","1,177,207",31.50,6/14,19.00,3/12,24.85
86,"13,668,587,623","387,190,173,727","1,876,144",34.00,7/29,22.20,12/01,27.36
87,"5,671,891,764","121,926,262,258","822,024",25.20,1/15,19.10,9/01,21.16
88,"8,220,745,779","197,166,000,000","1,246,436",28.40,5/05,16.00,2/05,22.84
89,"6,049,684,126","135,774,543,666","873,047",26.80,1/28,17.00,11/21,21.55
90,"3,264,156,244","53,653,041,683","465,059",21.80,2/27,11.00,9/24,16.22
91,"8,338,904,016","150,592,650,972","931,903",21.20,11/18,13.60,1/02,16.91
92,"17,698,839,357","432,816,621,708","2,138,381",28.70,11/06,18.90,3/12,24.22
93,"14,532,497,964","474,636,082,822","1,900,362",37.40,10/12,27.00,5/17,32.47
94,"9,341,092,364","286,959,713,113","1,572,841",37.55,3/01,23.15,12/19,30.79
95,"8,031,994,830","237,699,953,988","1,586,646",34.95,12/27,24.40,1/03,29.68
96,"8,093,390,046","335,397,512,735","1,938,880",52.00,10/03,32.60,1/12,40.65
97,"11,079,545,893","425,853,929,107","2,951,521",54.40,5/20,19.20,10/28,39.72
98,"17,524,120,963","473,362,595,514","3,903,788",33.00,12/31,21.00,3/12,27.67
99,"7,036,622,737","226,795,165,229","1,857,131",35.80,1/11,29.25,6/09,31.90
100,"8,675,075,490","273,472,623,273","2,513,724",35.80,4/28,26.85,11/21,31.98
101,"4,559,499,644","125,790,207,313","1,500,370",30.90,3/02,24.00,9/06,27.59
102,"3,786,729,001","97,928,836,077","1,217,510",28.40,1/03,23.00,6/24,25.88
程蔼基,ら戳,程基,ら戳
54.40, 97/5/20,11.00, 90/9/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
