"2006 狥葵 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"672,021,840","44,382,083,945","262,567",86.00,6/18,36.50,1/17,66.22
81,"341,524,975","17,501,980,089","110,974",62.00,1/30,36.50,9/18,49.35
82,"661,520,131","29,005,588,391","165,567",53.50,3/12,30.70,9/16,40.87
83,"826,339,232","34,769,948,404","174,532",48.20,1/10,33.70,10/11,40.74
84,"2,158,547,984","97,076,331,884","444,774",65.00,4/10,23.50,8/15,39.62
85,"1,477,100,492","42,753,733,832","284,523",34.40,6/14,22.50,2/28,28.02
86,"1,613,187,619","52,917,305,871","314,551",41.00,4/14,20.00,10/20,29.08
87,"779,413,032","16,457,139,641","142,740",26.30,3/12,15.10,12/29,20.32
88,"1,177,208,873","19,477,743,894","210,796",19.80,10/15,9.95,8/11,14.90
89,"2,126,905,194","36,880,667,135","359,152",23.00,2/21,9.50,10/02,14.89
90,"239,190,555","2,413,627,741","48,104",13.40,2/06,7.30,7/19,9.37
91,"746,959,219","8,004,770,525","124,079",12.75,6/11,6.95,10/08,9.95
92,"2,731,226,690","34,109,453,137","425,773",16.50,1/16,8.00,5/02,11.45
93,"7,305,874,324","176,203,992,427","1,258,942",33.80,10/12,13.30,1/14,23.71
94,"1,809,871,805","38,640,303,062","360,402",27.20,2/22,16.90,10/24,21.16
95,"2,630,977,067","70,387,317,743","512,074",32.40,12/27,17.85,1/03,26.17
96,"2,298,904,160","98,106,863,931","559,621",58.80,10/01,30.40,1/08,41.67
97,"2,749,448,026","115,701,881,829","831,103",64.40,5/26,16.10,10/28,42.88
98,"2,453,861,926","75,077,563,027","771,398",38.20,8/04,20.75,1/15,30.88
99,"1,440,171,048","46,403,308,990","477,562",38.75,1/20,25.15,6/08,31.01
100,"892,428,608","28,514,783,635","327,968",36.50,1/05,24.40,10/04,30.91
101,"480,709,604","13,911,718,964","200,106",31.60,2/20,26.30,7/26,28.58
102,"639,712,481","16,880,475,324","259,068",30.65,1/14,22.80,8/30,27.31
程蔼基,ら戳,程基,ら戳
86.00, 80/6/18,6.95, 91/10/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
