"2009 第一銅 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"647,009,480","28,885,218,511","234,662",59.00,4/25,23.70,1/16,43.30
81,"666,606,875","27,804,168,662","179,943",53.00,2/10,20.80,12/29,37.98
82,"811,260,153","20,171,698,621","188,446",33.00,4/08,17.70,9/07,23.16
83,"2,197,609,300","61,098,811,279","412,976",33.40,12/24,21.40,10/11,26.34
84,"1,025,747,260","22,825,104,235","216,606",32.60,1/05,14.90,8/15,21.45
85,"792,043,119","14,847,658,244","164,270",21.40,6/18,15.80,9/04,17.86
86,"767,796,271","15,742,082,663","149,151",25.30,3/21,12.90,11/19,17.95
87,"763,473,500","12,238,314,188","135,133",20.70,3/13,9.85,9/01,14.27
88,"503,256,063","5,851,694,139","88,940",15.00,5/05,8.70,8/07,10.85
89,"394,195,858","4,264,057,751","70,317",15.00,2/21,2.71,11/23,8.20
90,"130,057,040","543,650,407","21,442",6.65,2/06,2.13,9/24,3.76
91,"439,751,431","2,524,686,509","69,795",8.00,4/29,2.88,1/30,5.05
92,"1,119,078,344","9,408,958,448","186,580",11.60,1/24,5.15,5/02,7.71
93,"2,769,158,161","37,528,875,416","538,082",16.90,10/11,8.50,5/18,12.57
94,"1,160,898,380","13,474,818,826","253,212",14.60,2/22,8.00,5/17,10.78
95,"1,625,249,399","20,820,231,502","325,584",16.65,12/29,9.22,1/04,12.09
96,"906,100,477","14,457,763,097","199,274",18.85,1/05,10.30,12/18,14.78
97,"386,887,915","4,777,178,859","102,082",15.50,4/17,4.63,10/28,9.91
98,"633,862,984","6,038,542,434","150,321",13.45,12/31,5.00,3/03,8.60
99,"818,555,716","11,981,093,749","216,683",17.00,4/14,12.15,6/07,14.05
100,"208,991,643","2,801,040,519","73,215",15.70,1/04,7.45,12/20,11.99
101,"106,925,121","981,344,103","33,409",11.20,12/27,6.90,7/25,8.64
102,"72,053,312","714,442,485","25,023",12.00,1/03,8.70,4/08,9.50
近年最高價,日期,近年最低價,日期
59.00, 80/4/25,2.13, 90/9/24
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
