"2012 琄獴 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"59,688,531","4,468,009,295","25,385",82.00,11/05,59.50,10/17,73.87
81,"238,328,389","14,453,336,110","87,806",90.00,1/13,31.80,9/29,59.91
82,"596,482,637","23,813,054,257","134,772",49.10,5/12,28.30,1/09,38.58
83,"1,008,270,447","44,024,270,243","200,309",58.00,1/24,32.10,12/01,41.01
84,"547,404,978","17,893,189,179","122,188",44.50,2/18,18.50,11/10,28.39
85,"677,170,905","13,932,934,507","123,665",23.40,12/03,17.30,7/26,19.56
86,"856,156,959","21,499,042,565","173,978",30.80,4/08,15.30,11/17,21.88
87,"782,075,083","15,625,285,524","137,993",24.00,5/13,13.85,12/30,18.62
88,"253,119,254","3,342,450,523","45,033",17.40,5/05,7.10,11/08,12.20
89,"137,383,247","1,234,575,158","27,216",13.65,2/21,2.76,11/22,6.79
90,"49,650,135","150,419,999","11,490",4.70,2/06,1.59,10/08,2.85
91,"366,997,182","1,890,102,354","55,011",6.75,4/26,2.25,1/24,4.60
92,"945,758,391","7,534,321,516","147,298",10.85,2/07,5.40,1/02,7.50
93,"2,012,098,307","27,606,770,945","353,541",19.00,3/04,8.65,1/14,12.75
94,"342,926,300","3,054,046,104","65,878",12.60,1/07,5.52,10/20,8.53
95,"226,594,529","2,014,592,359","44,985",12.50,12/28,6.71,1/03,8.90
96,"289,613,633","3,485,524,227","61,010",13.80,7/23,7.54,12/24,10.95
97,"236,912,039","2,711,614,987","55,126",14.00,5/20,6.00,10/28,9.52
98,"552,178,860","6,187,246,548","114,352",13.30,4/24,6.80,1/21,9.25
99,"367,557,904","3,938,822,302","85,869",13.00,4/19,8.80,2/09,9.84
100,"136,939,192","1,361,936,562","32,819",11.30,8/02,8.43,12/19,9.55
101,"87,778,895","883,358,768","20,410",11.75,12/26,8.63,5/15,9.81
102,"78,830,849","921,527,677","13,945",12.45,3/27,10.40,11/25,11.32
程蔼基,ら戳,程基,ら戳
90.00, 81/1/13,1.59, 90/10/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
