"2013 い葵篶 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"166,450,190","13,302,197,770","73,424",110.50,2/14,49.50,9/29,72.13
82,"267,969,171","13,388,853,855","96,932",72.50,4/24,30.10,9/16,45.76
83,"175,743,235","5,937,742,855","48,722",40.90,1/24,27.50,11/02,32.45
84,"247,682,657","6,786,333,179","70,615",38.80,2/08,16.80,8/15,25.21
85,"417,841,628","9,799,410,593","88,506",29.00,12/05,18.50,3/12,22.63
86,"369,202,175","9,869,670,114","85,900",34.30,3/21,19.40,10/29,24.90
87,"543,298,376","23,285,275,645","93,120",88.00,9/09,19.60,12/31,47.38
88,"659,106,127","19,293,759,809","196,889",38.90,10/05,17.50,2/04,26.78
89,"335,627,191","9,954,022,993","108,323",37.20,2/22,16.00,11/02,24.51
90,"117,175,814","2,218,993,362","40,896",25.00,2/06,13.20,7/20,17.17
91,"114,730,133","1,866,180,375","36,186",18.50,4/25,12.20,10/08,15.45
92,"134,173,282","2,251,222,557","43,687",21.30,1/16,12.10,5/02,14.61
93,"278,163,144","5,200,884,006","81,960",24.50,3/02,13.50,5/18,16.97
94,"42,417,843","638,918,176","15,362",17.30,2/21,12.20,10/27,14.52
95,"55,018,969","780,806,560","19,861",16.40,12/27,12.50,7/21,13.76
96,"119,229,993","2,279,664,858","36,796",23.45,7/20,14.90,3/06,17.94
97,"213,499,041","5,144,669,778","80,707",33.70,5/21,10.55,10/28,18.38
98,"235,712,802","5,221,448,298","94,323",28.05,8/21,12.55,1/21,19.71
99,"134,740,060","3,334,892,199","57,696",29.25,1/12,20.65,2/06,23.29
100,"173,687,377","4,983,481,305","80,786",32.65,3/30,24.25,1/03,27.86
101,"85,645,351","2,535,563,085","41,376",32.00,7/04,26.60,1/02,29.38
102,"88,870,552","3,153,037,320","48,403",40.60,7/03,30.90,1/02,35.37
程蔼基,ら戳,程基,ら戳
110.50, 81/2/14,10.55, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
