"2017 ﹛バ葵 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"51,946,950","2,757,728,175","16,179",64.00,12/17,37.40,11/02,51.20
82,"543,728,335","33,568,122,384","196,237",105.50,6/07,42.10,9/16,56.96
83,"422,110,785","18,029,307,932","103,996",49.70,1/10,34.10,7/18,41.46
84,"520,222,717","17,382,213,702","129,237",47.30,4/11,18.90,11/24,31.37
85,"723,242,867","15,731,850,657","138,800",26.20,4/30,18.00,9/06,20.62
86,"1,139,340,852","25,493,271,966","217,818",28.50,4/16,14.50,10/17,20.12
87,"1,206,621,710","19,944,939,690","170,862",21.00,10/13,9.30,12/31,15.58
88,"1,056,366,452","9,589,677,365","115,760",12.15,5/05,5.95,8/10,8.54
89,"1,324,983,551","8,133,839,839","115,023",9.60,2/21,1.24,12/30,4.81
90,"302,118,793","595,962,889","25,613",3.05,2/21,1.02,11/02,1.65
91,"1,152,955,142","6,095,394,212","117,002",7.90,12/11,1.62,1/02,4.57
92,"1,388,789,510","11,127,107,235","175,970",9.90,2/07,5.80,5/02,7.64
93,"2,714,880,838","33,169,211,317","395,893",18.10,3/15,7.95,6/18,11.33
94,"513,894,538","4,006,931,972","95,023",11.90,1/04,3.80,10/28,7.03
95,"475,980,427","2,903,482,551","79,134",7.40,10/17,4.42,9/15,5.71
96,"1,997,088,709","17,632,955,459","313,865",12.30,4/17,5.30,12/21,8.24
97,"2,805,497,915","33,103,043,030","553,737",17.80,5/23,3.75,10/28,9.00
98,"1,623,798,154","11,404,801,638","292,106",10.70,12/31,4.46,3/03,6.81
99,"1,080,002,719","11,775,844,843","227,880",12.20,9/08,8.64,2/06,10.49
100,"567,169,756","6,358,296,589","143,650",13.15,1/05,5.61,11/24,9.79
101,"506,888,974","4,368,715,546","134,222",11.90,3/12,6.10,11/01,7.44
102,"285,218,130","2,130,205,775","77,652",8.70,1/03,6.35,11/13,7.08
程蔼基,ら戳,程基,ら戳
105.50, 82/6/07,1.02, 90/11/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
