"2022 籈﹄ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"141,259,486","4,705,200,646","39,642",46.50,6/09,24.00,8/15,31.73
85,"974,156,122","25,515,981,635","157,870",35.80,4/15,20.90,7/22,26.15
86,"1,158,783,819","27,886,658,174","196,576",29.80,4/14,16.60,10/30,23.02
87,"2,661,858,708","101,078,243,329","354,645",71.50,10/26,9.45,12/31,40.97
88,"1,575,256,536","17,362,042,349","241,089",15.40,5/05,5.55,12/28,9.49
89,"836,884,139","6,920,371,163","130,108",14.10,2/21,1.90,11/22,6.18
90,"381,779,295","1,206,803,583","45,420",4.85,2/21,1.35,9/24,2.52
91,"1,621,897,794","8,726,515,804","213,138",7.65,3/27,1.99,1/02,4.77
92,"2,851,389,366","24,156,596,484","412,331",11.10,11/17,5.30,3/12,8.40
93,"3,125,939,250","36,950,812,308","501,050",16.90,3/15,7.70,5/18,10.92
94,"640,840,881","5,009,870,916","113,215",10.90,2/22,4.35,10/28,7.40
95,"1,062,456,569","6,611,130,705","155,220",9.00,12/19,4.36,9/15,5.45
96,"1,370,645,261","10,245,879,554","227,947",8.95,7/19,5.98,8/17,7.10
97,"3,497,782,343","34,916,177,271","597,804",14.90,5/20,3.90,10/28,8.34
98,"1,727,366,056","10,047,308,779","263,096",7.00,4/13,4.38,3/03,5.52
99,"2,034,267,852","15,466,540,706","317,942",9.50,9/20,5.30,6/08,7.24
100,"1,099,819,051","9,533,428,261","214,271",10.30,2/08,4.96,11/24,7.86
101,"507,480,634","2,931,846,325","94,044",7.28,2/20,4.13,10/30,5.41
102,"750,316,501","4,630,821,669","141,946",6.97,1/10,5.22,4/16,5.88
程蔼基,ら戳,程基,ら戳
71.50, 87/10/26,1.35, 90/9/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
