"2023 闙谨 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"38,412,127","1,511,416,195","10,829",41.90,9/02,36.70,8/05,39.32
85,"190,700,590","5,688,322,483","23,450",40.00,4/08,25.10,8/20,31.75
86,"2,480,381,765","74,246,943,215","390,394",45.70,4/14,14.85,11/15,29.35
87,"1,735,828,091","34,190,171,189","278,722",25.40,3/12,13.55,12/31,18.90
88,"3,074,095,789","58,453,485,954","439,799",25.50,5/11,10.90,2/05,17.64
89,"1,552,128,143","24,322,631,879","266,695",22.20,2/21,4.36,11/22,11.98
90,"517,697,096","2,663,137,393","69,232",8.45,2/05,2.20,11/30,4.67
91,"6,942,634,234","103,708,940,026","894,328",25.70,12/24,3.18,1/02,11.43
92,"9,904,540,119","268,593,909,967","1,645,564",41.30,2/06,19.70,5/02,26.62
93,"7,894,691,227","211,203,390,920","1,319,830",35.90,3/04,18.00,5/18,24.74
94,"2,084,331,463","33,989,631,625","392,763",23.90,1/04,10.25,10/21,16.14
95,"3,495,570,715","47,901,795,182","581,307",17.00,4/17,10.70,1/24,13.15
96,"2,224,140,604","32,981,118,641","424,595",18.00,7/23,10.80,12/18,14.14
97,"2,454,715,035","34,908,510,644","512,701",18.60,5/20,7.98,10/28,12.57
98,"1,812,634,870","21,968,763,685","367,920",14.75,6/02,8.62,3/02,11.34
99,"1,195,260,404","14,770,276,190","257,787",14.35,1/14,10.40,11/30,11.86
100,"649,232,093","7,223,901,799","158,574",12.30,2/09,9.38,12/19,10.89
101,"685,364,431","7,214,989,704","191,616",12.45,2/20,8.00,10/29,9.50
102,"608,159,661","5,688,865,293","169,760",10.50,1/03,7.90,4/08,9.03
程蔼基,ら戳,程基,ら戳
45.70, 86/4/14,2.20, 90/11/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
