"2025 砍 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"472,456,686","8,321,284,357","84,265",20.90,4/06,15.00,3/13,17.22
86,"702,566,754","15,957,643,743","128,168",32.80,4/07,13.20,11/19,20.55
87,"932,569,110","17,456,898,356","170,061",25.50,5/29,11.45,12/21,16.46
88,"795,132,049","12,232,489,062","137,528",19.40,5/12,11.50,7/19,14.26
89,"368,997,198","4,435,718,050","64,789",17.50,2/21,2.57,12/12,9.27
90,"112,292,038","225,800,905","16,059",4.60,3/02,0.59,12/06,2.81
91,"917,718,712","3,792,976,985","83,394",5.70,12/11,0.53,1/28,3.12
92,"2,273,406,210","20,206,382,315","362,640",13.70,12/31,4.30,1/02,8.34
93,"2,578,855,131","44,402,363,386","527,381",24.20,3/02,11.40,5/18,16.03
94,"1,041,419,668","8,421,642,955","194,848",15.70,1/04,3.62,10/28,7.55
95,"2,463,649,352","25,715,345,624","436,673",13.90,4/21,5.20,1/24,9.75
96,"1,759,988,461","21,972,872,859","323,332",15.05,4/16,6.16,12/21,11.50
97,"845,806,746","7,174,946,518","182,805",12.15,5/20,2.25,10/30,6.96
98,"805,936,514","4,571,114,772","148,920",7.00,5/14,3.10,3/03,5.48
99,"737,841,070","4,932,208,213","149,063",8.52,5/04,5.03,7/22,6.39
100,"339,324,002","2,377,943,240","68,191",8.75,2/09,3.34,12/20,5.98
101,"145,652,276","572,844,896","33,682",5.68,2/21,2.55,7/24,3.66
102,"275,179,929","1,204,294,370","62,692",5.46,1/14,3.50,4/16,4.06
程蔼基,ら戳,程基,ら戳
32.80, 86/4/07,0.53, 91/1/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
